"ID_REF"	"GSM1701025"	"GSM1701026"	"GSM1701027"	"GSM1701028"	"GSM1701029"	"GSM1701030"	"GSM1701031"	"GSM1701032"	"GSM1701033"	"GSM1701034"	"GSM1701035"	"GSM1701036"	"GSM1701037"	"GSM1701038"	"GSM1701039"	"GSM1701040"	"GSM1701041"	"GSM1701042"	"GSM1701043"	"GSM1701044"	"GSM1701045"	"GSM1701046"	"GSM1701047"	"GSM1701048"	"GSM1701049"	"GSM1701050"	"GSM1701051"	"GSM1701052"	"GSM1701053"
"1007_s_at"	9.57217	9.8013	9.25546	9.55221	9.47924	8.21862	9.53807	9.18347	9.14685	9.44317	9.15002	9.7514	9.83877	8.24588	9.71559	9.99269	9.76286	9.52039	9.17191	8.88157	9.80054	9.82316	8.00696	8.19362	8.1643	8.117	8.13111	8.13521	8.53802
"1053_at"	4.88825	5.35791	4.3856	4.76542	5.04724	4.64164	4.19384	4.07295	4.9933	3.76948	4.03436	4.5767	4.23364	4.51164	4.14296	3.98405	4.22871	3.8346	3.97316	4.06508	6.78461	6.67438	7.74635	7.62368	7.93	8.0499	8.16072	8.17223	8.55229
"117_at"	4.81348	4.49607	4.80718	5.41627	3.75708	3.26896	3.41283	4.59457	3.90928	3.16438	4.60932	3.92876	3.70483	4.27133	4.30241	3.35913	3.74881	3.66693	4.12829	3.33549	3.54787	3.54398	2.94289	3.1723	3.19872	3.326	3.64439	3.5276	3.16529
"121_at"	10.116	9.63114	10.1277	9.99349	10.5453	8.77666	11.11	9.88783	9.6518	10.3708	9.23821	8.39622	9.08208	7.95337	9.80426	9.6749	9.28004	9.35501	9.87584	9.62286	7.553	7.61229	9.54628	9.5359	8.89454	8.90279	8.79724	8.95136	9.01289
"1255_g_at"	1.82492	1.80298	1.92421	1.72321	1.85228	1.73925	1.95268	1.70643	1.91659	2.02305	1.63661	1.89189	1.85922	2.57996	2.03023	1.82373	1.70738	1.86102	1.79328	2.02109	1.70067	1.77129	1.59548	1.71456	1.48827	1.79063	1.82243	1.86999	1.75879
"1294_at"	7.89765	7.80773	6.8095	6.23408	7.34833	5.94211	7.1082	6.28209	6.09979	7.40084	7.64842	6.59453	7.0593	5.95187	7.59762	7.20246	6.94426	7.04304	6.73725	7.7005	5.62929	5.88726	5.7562	5.82912	4.70498	4.38956	4.38136	5.05432	5.12236
"1316_at"	4.44032	4.46891	4.74036	5.24697	5.08031	4.23964	5.21163	5.24776	4.52377	5.436	5.22328	4.36857	4.56847	4.72837	5.99834	4.95811	4.92756	4.95421	5.27576	5.29182	5.1512	5.27249	4.68252	4.67822	4.64169	4.54641	5.05372	5.06996	5.28076
"1320_at"	3.62393	2.97092	3.27066	3.303	3.77901	3.10331	3.38918	3.24656	3.00015	3.51999	3.27325	3.05395	2.92763	3.77507	3.19048	3.17168	3.37951	3.1608	3.03562	3.32215	3.91337	3.57446	3.68939	3.81135	3.22523	3.4079	3.93959	3.48866	3.67289
"1405_i_at"	4.01059	4.32305	3.66511	2.96689	3.89325	3.43971	4.5539	2.18212	2.03824	3.63598	5.23394	3.81723	4.86209	3.72692	3.82533	5.64782	6.06506	4.70644	4.68068	6.76	2.19353	2.04108	3.98266	3.61196	1.85903	1.96601	1.89716	2.24865	1.95166
"1431_at"	2.86234	4.0783	3.41334	3.16953	3.29146	2.96105	3.56838	2.57475	2.71193	3.98922	3.2871	2.97778	3.17069	2.72798	3.14619	3.83155	2.74157	2.88558	3.27204	2.97797	2.89685	2.74688	2.58963	2.60612	2.43452	2.51844	2.37007	2.22846	2.44157
