"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CRISP3",1.93035505494026,5.10702591327572e-16,4.53548750393747,5.74915025883316e-06,0.0100814154070446,3.64460666505072
"CRISP2",1.87755692414711,-5.63785129692462e-16,4.41143505989057,1.02721374566981e-05,0.0100814154070446,3.12778605474095
"CRABP2",-1.87519157029984,9.43689570931383e-17,-4.40587751606503,1.05390815753347e-05,0.0100814154070446,3.10496792978511
"NUF2",-1.86230844211387,-5.96744875736022e-16,-4.37560781684595,1.21132999862294e-05,0.0100814154070446,2.9811917977962
"AURKA",-1.86084299178544,-1.52655665885959e-16,-4.37216465148876,1.23059616288766e-05,0.0100814154070446,2.96716636797268
"C6",1.85341859843465,-1.88044024795886e-16,4.35472058430504,1.33278276709161e-05,0.0100814154070446,2.8962791656745
"TTK",-1.84978307308823,-4.9960036108132e-17,-4.34617869469943,1.38572575101467e-05,0.0100814154070446,2.8616709732591
"SCN1A",1.84678658696573,-2.48412401759879e-16,4.33913826691412,1.43086478725502e-05,0.0100814154070446,2.83319716596712
"GINS1",-1.84540093211266,-5.82867087928207e-17,-4.33588258591658,1.45220925712033e-05,0.0100814154070446,2.82004572944433
"KIF20A",-1.82627321516876,-8.49320613838245e-16,-4.29094084270935,1.77970122118707e-05,0.0100814154070446,2.63951063228658
"KIF18B",-1.82260772158016,-2.98372437868011e-16,-4.28232854088211,1.85001701257002e-05,0.0100814154070446,2.60512899670663
"CDCA3",-1.8204257250893,-3.15025783237388e-16,-4.27720180640257,1.89312295512231e-05,0.0100814154070446,2.58469508171154
"STMN1",-1.81798067797986,2.44249065417534e-16,-4.27145701837355,1.94256185226404e-05,0.0100814154070446,2.56182683786031
"DLC1",1.81294923931795,-2.45636844198316e-16,4.25963534488423,2.04819341980275e-05,0.0100814154070446,2.51486507133501
"EFNA4",-1.81209513270419,-3.02535774210355e-16,-4.25762856905104,2.06665925474445e-05,0.0100814154070446,2.50690604782103
"UBE2C",-1.81156801484226,-8.32667268468867e-18,-4.25639007332987,2.07813455760148e-05,0.0100814154070446,2.50199595244328
"TOP2A",-1.79969187650894,-1.60288449180257e-16,-4.22848635848325,2.35334321041235e-05,0.0100814154070446,2.39174854941585
"SOCS2",1.79710584835463,5.82867087928207e-17,4.22241032684923,2.41770540655499e-05,0.0100814154070446,2.36783832569628
"PTGS2",1.7945035528656,2.39738784379995e-16,4.21629607411533,2.48416088541659e-05,0.0100814154070446,2.34381240248872
"EZH2",-1.79018058255659,-1.4432899320127e-16,-4.20613899043985,2.59841432628404e-05,0.0100814154070446,2.3039771547335
"FABP6",1.78943646716907,-2.08513761812412e-16,4.20439064573357,2.61857828089054e-05,0.0100814154070446,2.29712998285997
"CD69",1.78403654511636,1.07552855510562e-16,4.19170319793496,2.7694266503603e-05,0.0100814154070446,2.24752647688611
"TBX19",-1.78253734425826,9.15933995315754e-16,-4.18818073363991,2.81275080348658e-05,0.0100814154070446,2.23378145537063
"ZHX1-C8orf76",-1.78206310361639,-7.04991620636974e-16,-4.18706647618787,2.82658911003314e-05,0.0100814154070446,2.22943591285649
"KIF2C",-1.77929651033872,2.33146835171283e-16,-4.18056619573054,2.90861715652845e-05,0.0100814154070446,2.20410822630319
"DNAI2",1.77738855128752,3.63944985259934e-16,4.17608332900991,2.96650010403233e-05,0.0100814154070446,2.18666411550346
"ZBBX",1.7771746689061,-5.78703751585863e-16,4.17558079924694,2.97305660931952e-05,0.0100814154070446,2.18470979571323
"FANCI",-1.77256976224828,-1.07205910815367e-16,-4.16476128884139,3.11760454032748e-05,0.0100814154070446,2.14269015893477
"ADGB",1.77078881229323,3.85802501057242e-16,4.16057683777596,3.17527946123299e-05,0.0100814154070446,2.12646827852151
"TMEM232",1.76949074309782,6.53643805748061e-16,4.15752694464882,3.21795379413693e-05,0.0100814154070446,2.1146550181299
"ESPL1",-1.76915746037849,-1.77635683940025e-16,-4.15674387647442,3.22899813509795e-05,0.0100814154070446,2.11162332973453
"CENPF",-1.76754025016696,-6.86950496486816e-16,-4.15294414197124,3.28310260481662e-05,0.0100814154070446,2.0969205723015
"RIPOR2",1.76516536148062,5.3707038816242e-16,4.14736419545698,3.36411884448681e-05,0.0100814154070446,2.07535380349142
"DNAAF1",1.76487215909901,9.54097911787244e-16,4.14667529849238,3.37425175815704e-05,0.0100814154070446,2.07269319366197
"HSPA4L",1.76347875903035,8.36830604811212e-16,4.14340141963616,3.42280443473286e-05,0.0100814154070446,2.06005508818151
"CCDC81",1.76238588039606,-1.11022302462516e-17,4.14083363430752,3.46134907002792e-05,0.0100814154070446,2.0501496897973
"MAK",1.76000635519915,-5.93275428784068e-16,4.13524279402749,3.54670305260076e-05,0.0100814154070446,2.02860390096185
"NUSAP1",-1.75895705872617,5.82867087928207e-17,-4.13277740765781,3.58497314301388e-05,0.0100814154070446,2.0191121280193
"CDH6",-1.75823121836592,-1.57165946923499e-16,-4.13107200124805,3.61167518078173e-05,0.0100814154070446,2.01254960097043
"NDC1",-1.75736504273135,-8.2052420413703e-16,-4.12903686851083,3.64378699411336e-05,0.0100814154070446,2.00472180796442
"AUNIP",-1.75693150798789,-1.87523607753093e-16,-4.12801825206177,3.65996108661149e-05,0.0100814154070446,2.00080532095957
"IL33",1.75677620088431,4.14251966063262e-16,4.12765334850387,3.66577177023282e-05,0.0100814154070446,1.99940253526655
"DTL",-1.75337979496034,8.13585310233123e-17,-4.11967328463578,3.79505724687936e-05,0.0100814154070446,1.96875607052054
"TTC25",1.75098316446794,-8.05779054591227e-16,4.11404225441571,3.88887806580788e-05,0.0100814154070446,1.94716647341193
"WDR66",1.74837953846018,4.02455846426619e-16,4.10792487554654,3.99329549503568e-05,0.0100814154070446,1.92374566206766
"HJURP",-1.74754997189192,-1.4432899320127e-16,-4.10597575805418,4.02712011616115e-05,0.0100814154070446,1.91629065113219
"PRC1",-1.74396498908305,-7.08461067588928e-16,-4.09755262123805,4.17644487097273e-05,0.0100814154070446,1.88411440608148
"OGDHL",-1.74188297655917,1.11022302462516e-16,-4.09266080521649,4.26556254119835e-05,0.0100814154070446,1.86545807865537
