GSM1701025	GSM1701026	GSM1701027	GSM1701028	GSM1701029	GSM1701030	GSM1701031	GSM1701032	GSM1701033	GSM1701034	GSM1701035	GSM1701036	GSM1701037	GSM1701038	GSM1701039	GSM1701040	GSM1701041	GSM1701042	GSM1701043	GSM1701044
ABCA13	-0.947624063866048	-0.833433490726342	-0.599140371825301	-0.641023440480488	-1.14569645658164	0.0427196340910386	-0.935970597750911	-0.833433490726342	-0.909095780910673	-0.819344608495189	-0.464309647102358	1.25055207974866	1.14249266668102	-0.63975702410016	0.607693553224749	1.45282556526437	1.91495186181872	1.38830530381082	0.813589720213042	0.155698587713027
ABCA8	-0.948401494982002	-1.17804519100065	-1.3383912345888	-1.02359967321209	-1.20898942573376	-0.981457849745651	-0.761037450368297	-0.370693828216702	0.467922126130382	-0.689918234101947	1.10052628829256	-0.0967067867950298	0.254560752251914	-0.349244820922461	1.27012170407794	0.877047598712259	1.07566138317115	1.30653063031863	1.20020941354332	1.39390609316922
ABCC1	1.19453419381542	0.171103869052839	1.24043759190862	0.929936314367673	0.913966879263972	-0.287182012171067	1.35158525921688	0.974144019789031	0.41146331795593	1.00743944413391	-0.977578296182662	-0.867547791105268	-0.242515472262031	-2.41165551275299	-0.989498018199478	-0.442467562261258	-0.64917249895955	-0.191564894804382	-1.01591092522921	-0.119517905576386
ABR	0.301596817903627	-1.26146763146561	-0.573610883540694	-0.598279370851507	-1.77582448461063	-0.0388930820069729	-1.07485079485523	-1.45391422000064	-0.759558378263425	-1.18663089009206	0.643889622576112	0.498556066261818	0.690041825312971	0.592350297227394	1.25802160032792	1.46192257181122	1.00733147173082	1.10188141127922	0.358803957623539	0.80863409363213
ACKR4	-0.841567470845966	-1.07732894932789	-1.04989121338329	-0.880613280464702	-0.875480035926075	-0.839018978098232	-0.492372165773338	-0.911231452480667	-0.919581392133811	-0.708170451064683	1.05911085208591	0.800827327939051	0.422262197907784	-0.00342932850332742	0.956673875298949	1.73529020836474	0.974337209180601	1.89465388291104	0.956891429557902	-0.201362265243993
ACSL5	-1.21967328277581	-1.04757388525861	0.20150110198786	-2.12739297913155	-1.0016862754999	-0.804791265100077	-0.700820429616576	-1.00345143044236	-0.689163988251097	-0.237598841498424	0.702022018726498	0.877792938524015	1.44632687988194	0.414725400291751	0.823458260022482	0.828330087663671	1.03765820760366	0.613706502896303	0.795722861817506	1.09090811815874
ACTR2	1.7069224412567	0.0260814153737931	0.977664538150325	1.56983515831326	0.839001539310985	0.530808096555748	0.114089294780677	1.52173435728048	0.799077874453773	0.287998570238868	-0.389559264998818	-1.16560763697191	-1.09166509524634	-1.26547485180584	-0.177998672870135	-1.01954706666339	-1.40412126416207	-0.574100476133567	-0.895579691863722	-0.389559264998818
ADGB	-0.97476864826973	-0.337698867021862	-0.94048538512664	-1.02730287234984	-1.02620600735926	-0.882317263594913	-0.806315737685082	-0.922664445123429	-0.9777008924633	-0.958483942472077	1.10146278686924	0.908021920717923	0.859956175036941	-0.117291325789628	1.26391410094292	1.43343894776837	1.06211587142588	1.48228994906761	1.00008690977106	-0.140051274344175
ADH6	-0.751288114544348	-0.686920717539051	-0.929677312521994	-0.539593436738159	-0.843679270968766	-0.92498244993584	-0.842915836455309	-0.917753192502294	-0.684812184120934	-0.512883615631314	0.247232294735981	0.780950921122971	1.12902512493845	-0.571143536528959	1.22858321761164	2.08568647178028	1.51635648172819	1.49949340781531	0.203513983618458	-0.48519223586431
ADRB2	-1.01477562063526	-1.19187368170253	-0.0876441325478158	0.0236900705147819	-1.30781175171054	-0.854291169079602	-0.91994389926146	-0.691988983850675	-0.769056128976496	-0.755339780559829	1.19072271496618	0.485457925139303	0.502373167312866	-0.909863018191341	0.513732018345418	1.74753660890851	1.96826821583598	1.10456690147399	0.511636465115094	0.454604078903433
AFF1	-1.20933629342742	0.728728484625866	-0.034169694176572	-0.225501269430876	-1.91139775875687	-1.64957267204696	-1.56887659201916	-0.616072524400454	-0.4463712855732	-0.998847056662033	0.554761324659807	0.642663804104852	0.829696043694457	0.684810659429236	0.99465241984513	0.869058355194558	1.11600283970749	0.731991969987929	0.779785880187964	0.727993365056254
AGBL2	-0.614536874815396	-0.662328111527188	-0.931324812863947	-1.36814384725807	-1.21160353498658	-0.227913919357983	-1.06133909690266	-0.0393320859445416	-0.957734419082803	-1.33520369369621	0.759130105546521	1.00650141779871	0.939595141677379	-0.267792097311541	1.1579955634046	1.41510630475831	0.966881551188527	1.5161751655876	0.985254400259366	-0.0693871564740866
AGR2	-1.15617459937639	-1.0434503651508	-0.889295529885377	0.174159830870928	-1.08866096180519	-0.556471005387624	-0.855581382734183	-1.45066577229837	-0.531440535838288	-1.26900906865754	0.628726528332323	1.23287152826897	1.14287349533472	-0.0518042531626823	1.14614854327547	1.19368474400506	1.487123349945	0.941911433094179	0.575575451708665	0.369478569461125
AHI1	-1.24943571997633	-0.464447676007715	-0.672202584634394	-1.03600480018568	-1.76950024287509	-0.733273454752792	-0.224990955027724	0.0930484205140498	-0.740432968834619	-1.6691380454758	0.493368457891102	0.664659294797731	0.470363412643192	0.647588261221244	1.47459813784129	0.514072998614219	0.789456290257066	1.04987555246763	1.60264163968608	0.759753981836518
AIF1L	1.79106617145665	1.70094924316802	-0.0174005676761505	0.388897881696183	1.58538622785338	0.795985270884607	0.957151229934952	0.596561286668079	0.165266779319755	-0.240437187233412	-0.381424065917276	-0.134869261560646	-1.21188878472213	-1.26712012776265	-0.824680456533505	-1.26772572241022	-1.07109636303519	-1.19153191510132	-0.388235616723803	0.0151459776946755
AIP	1.64323180272058	1.57892138483832	0.696778296390863	0.473418993554602	-0.0599279377472593	0.162470163140271	0.911126330957776	0.448878306301076	1.36715658050862	0.319836944684	-0.651277399142831	-0.308098265885127	-1.27834152044592	-0.425274790947561	-1.85917783552725	-1.31333527889189	0.693444127131205	-0.921254996492523	-0.990251273874838	-0.488323631272105
