"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CRABP2",-1.93969031847316,3.25549772324981e-16,-6.56582923246855,5.17750005082925e-11,5.99928396008223e-07,14.5261626609435
"TTK",-1.9277656705244,1.07914256234724e-16,-6.52546443745812,6.78306739791082e-11,5.99928396008223e-07,14.2713093636377
"KIF20A",-1.89777588952956,-7.80625564189563e-17,-6.42394937659716,1.32856203520092e-10,7.83364461355637e-07,13.637314806961
"BUB1",-1.87017163412003,2.19731640290396e-17,-6.3305092921763,2.44479858789249e-10,8.06562315701808e-07,13.0625367323372
"DLGAP5",-1.86514001588979,5.64291090706289e-16,-6.31347732282114,2.72974149331339e-10,8.06562315701808e-07,12.9586754130733
"CEP55",-1.86242438478011,-7.878535786728e-17,-6.30428494300944,2.89674960933092e-10,8.06562315701808e-07,12.9027363431685
"REEP1",1.85451348903373,1.35308431126191e-16,6.27750665265456,3.44217979571568e-10,8.06562315701808e-07,12.7402449830661
"DTL",-1.85184637688808,-4.00359722226481e-16,-6.26847850897338,3.64774635401349e-10,8.06562315701808e-07,12.6856178797441
"KIF11",-1.84533561977618,1.45283091113058e-16,-6.24643967165813,4.20120516292e-10,8.25723534743243e-07,12.5525964430694
"ARHGAP11B",-1.8279236177758,3.95010991508885e-16,-6.18750024682257,6.11547071276195e-10,8.58593977518693e-07,12.199153269342
"LOC100288637",-1.8279236177758,3.95010991508885e-16,-6.18750024682257,6.11547071276195e-10,8.58593977518693e-07,12.199153269342
"NUSAP1",-1.82673607065182,3.52004305333627e-17,-6.18348041358048,6.27331447427188e-10,8.58593977518693e-07,12.1751695184026
"ALDH1A2",1.82300618393663,-3.44740150777974e-16,6.17085479030692,6.79536191150529e-10,8.58593977518693e-07,12.0999419286365
"LOC101928635",1.82300618393663,-3.44740150777974e-16,6.17085479030692,6.79536191150529e-10,8.58593977518693e-07,12.0999419286365
"ABCA8",1.81290753426536,1.85615411929518e-16,6.13667097828879,8.43073158150121e-10,9.94208072967833e-07,11.8970353230516
"CENPF",-1.80552097391838,2.95192111495387e-16,-6.11166755717993,9.86399190092841e-10,1.09052595459702e-06,11.749334961934
"HAND2-AS1",1.7976284416151,-2.95481232074716e-16,6.08495142686697,1.16578347017644e-09,1.21303198846771e-06,11.5921836719198
"RACGAP1",-1.79426643494684,2.77085935214879e-16,-6.07357107328581,1.25151708086166e-09,1.22989364685344e-06,11.5254505413743
"KIF14",-1.78455361499198,2.16479033772939e-17,-6.04069329038304,1.53519623431261e-09,1.40261208458746e-06,11.3333606501667
"CENPA",-1.78067649742261,-1.24610969691001e-16,-6.02756929237562,1.66515087208642e-09,1.40261208458746e-06,11.2569742845671
"SLC35F6",-1.78067649742261,-1.24610969691001e-16,-6.02756929237562,1.66515087208642e-09,1.40261208458746e-06,11.2569742845671
"PRC1",-1.77259284091199,-1.26056572587648e-16,-6.0002062088374,1.9714990879434e-09,1.57396621909485e-06,11.0982456464503
"NCAPG",-1.77080000697968,-3.72676426755684e-16,-5.99413748676893,2.04653869858e-09,1.57396621909485e-06,11.0631398623152
"RAD51AP1",-1.75980077955611,-1.61040162686514e-16,-5.9569052295037,2.57164213945409e-09,1.85532390393994e-06,10.8485396704907
"TOP2A",-1.75742875209607,3.08853058868704e-16,-5.94887594406107,2.70099875872255e-09,1.85532390393994e-06,10.8024355508266
"TACC3",-1.75696482518282,6.40835764083766e-16,-5.94730555684009,2.72702931213966e-09,1.85532390393994e-06,10.7934256652725
"CXorf57",1.74968315884852,-1.51137782844479e-16,5.92265720074762,3.16907270705084e-09,2.0762121153712e-06,10.6523207129824
"CCNB2",-1.74289013334892,-9.1304278952246e-16,-5.89966288821363,3.64388319644173e-09,2.30202320935206e-06,10.521213047634
"CKS2",-1.73882854167104,2.60353081686186e-16,-5.88591444748831,3.9601338650708e-09,2.38129007234986e-06,10.4430665987037
"HJURP",-1.73663257509484,-2.19297959421401e-16,-5.87848112609561,4.14208632766404e-09,2.38129007234986e-06,10.4008913676904
"PDE8B",1.73626632208284,-1.6277488616249e-16,5.87724136389761,4.17321455383829e-09,2.38129007234986e-06,10.3938623820558
"DIXDC1",1.73343145585756,7.63856570588454e-16,5.86764537460239,4.4219765235303e-09,2.44438571014773e-06,10.3395068779088
"CDCA3",-1.73130307675947,5.55400632891908e-16,-5.86044083603924,4.61816953980348e-09,2.47547881786617e-06,10.2987558788584
"ATAD2",-1.72260461564995,-6.18718039765061e-17,-5.83099664606394,5.5118002561417e-09,2.86759513914384e-06,10.1327312709827
"GINS1",-1.71818590955876,5.25259812496811e-16,-5.81603937719122,6.02807022787030e-09,3.04658669316565e-06,10.0487132089849
"MCM4",-1.70934340012257,1.71448503542374e-16,-5.78610758530073,7.20623627888211e-09,3.52458813714046e-06,9.88122816963036
"NCAPH",-1.7082113501629,-5.88830199876877e-16,-5.7822756093162,7.37236480717943e-09,3.52458813714046e-06,9.8598485297894
"KIF15",-1.70683039518291,-3.53088507506113e-17,-5.77760109272458,7.58006759024445e-09,3.52852146325879e-06,9.83378730346322
"ZWINT",-1.70120330721031,-2.5529347154792e-16,-5.75855346519749,8.48681722476794e-09,3.67510269650646e-06,9.72781145648348
"CHCHD7",-1.70095112304759,2.92011785122763e-17,-5.75769982473137,8.529831675548e-09,3.67510269650646e-06,9.72307022518308
"TK1",-1.70057644746791,-2.25947732745979e-16,-5.75643155223948,8.59413083282226e-09,3.67510269650646e-06,9.71602737104845
"PBK",-1.69981645658105,7.74843152602974e-17,-5.75385899190146,8.72600561101653e-09,3.67510269650646e-06,9.70174643098933
"SNCAIP",1.68681960270917,-2.83844128756705e-16,5.70986479227616,1.13105129122161e-08,4.65282936986491e-06,9.45851142686853
"ASPM",-1.68445112360547,-5.95588393418704e-17,-5.7018475179786,1.18556654264304e-08,4.76624694836654e-06,9.41438665252685
"SLC52A2",-1.67872387918148,4.10551222647844e-17,-5.68246086202513,1.32815444671016e-08,5.22082755730132e-06,9.30794429254092
"BIRC5",-1.6737451956163,-8.03755210535921e-17,-5.66560807589727,1.46553286006189e-08,5.60020513170852e-06,9.21570868449864
"KIF18B",-1.67126387976926,3.52437986202621e-16,-5.65720885053212,1.53905913800802e-08,5.60020513170852e-06,9.16984186143466
"ALDH1A1",1.67117738648992,-2.10299081389772e-16,5.65691607178467,1.54168568027781e-08,5.60020513170852e-06,9.16824427097498
"BUB1B",-1.67086188869341,-8.91936987231408e-17,-5.65584811540244,1.55130336058408e-08,5.60020513170852e-06,9.16241751016939
