sample	class
GSM1701025	HGSOC
GSM1701026	HGSOC
GSM1701027	HGSOC
GSM1701028	HGSOC
GSM1701029	HGSOC
GSM1701030	HGSOC
GSM1701031	HGSOC
GSM1701032	HGSOC
GSM1701033	HGSOC
GSM1701034	HGSOC
GSM371112	HGSOC
GSM371113	HGSOC
GSM371141	HGSOC
GSM371142	HGSOC
GSM371143	HGSOC
GSM371144	HGSOC
GSM371145	HGSOC
GSM371146	HGSOC
GSM371642	HGSOC
GSM371643	HGSOC
GSM371645	HGSOC
GSM371647	HGSOC
GSM371648	HGSOC
GSM371649	HGSOC
GSM371651	HGSOC
GSM371653	HGSOC
GSM371654	HGSOC
GSM371655	HGSOC
GSM371656	HGSOC
GSM372253	HGSOC
GSM372255	HGSOC
GSM372264	HGSOC
GSM1701035	Normal
GSM1701036	Normal
GSM1701037	Normal
GSM1701038	Normal
GSM1701039	Normal
GSM1701040	Normal
GSM1701041	Normal
GSM1701042	Normal
GSM1701043	Normal
GSM1701044	Normal
GSM372258	Normal
GSM372259	Normal
GSM372260	Normal
GSM372261	Normal
GSM372262	Normal
GSM372263	Normal
