	0	1
0	1	ZNF467
1	2	ZNF767P
2	3	ZNF668
3	4	ZNF204P
4	5	ZHX1-C8orf76
5	6	ZFP36
6	7	ZBED3-AS1
7	8	ZBBX
8	9	XPO4
9	10	WDR86-AS1
10	11	WDR49
11	12	WDR17
12	13	WDR12
13	14	VWA5A
14	15	VNN3
15	16	VWA3B
16	17	XPO5
17	18	VNN2
18	19	ZNF516
19	20	VNN1
20	21	VAX2
21	22	USP5
22	23	UBE2C
23	24	WDR66
24	25	TUBG1
25	26	TTK
26	27	TTC25
27	28	TSGA10
28	29	TROAP
29	30	TRIM23
30	31	TRIM22
31	32	TRGV9
32	33	TRGC2
33	34	TPX2
34	35	TPPP3
35	36	ZWINT
36	37	TPBG
37	38	TOP2A
38	39	TOMM40
39	40	TNNT1
40	41	TNFAIP8L2-SCNM1
41	42	TMEM79
42	43	TMEM39B
43	44	TMEM232
44	45	TMEM183B
45	46	UTP11
46	47	TMEM183A
47	48	TMC5
48	49	TTC29
49	50	TM9SF4
50	51	USP19
51	52	TIMELESS
52	53	TFPI
53	54	TENT5A
54	55	TEKT3
55	56	TUBA4B
56	57	TEDC2
57	58	TCTEX1D1
58	59	TCF7
59	60	TBX19
60	61	TARP
61	62	TACC3
62	63	TACC1
63	64	SYNGR3
64	65	SYNE1
65	66	SUB1
66	67	STX10
67	68	STIL
68	69	SRD5A2
69	70	SQOR
70	71	SPDL1
71	72	SPAG8
72	73	SPAG6
73	74	SPAG5
74	75	SPACA9
75	76	SOX3
76	77	SOX12
77	78	SOCS2
78	79	SNRPF
79	80	SNRPB
80	81	SMAD6
81	82	SLC9C2
82	83	SLC6A8
83	84	SLC6A10PB
84	85	SLC6A10P
85	86	SLC5A6
86	87	SLC4A3
87	88	SLC48A1
88	89	SLC43A3
89	90	SLC40A1
90	91	SLC39A4
91	92	SLC35F6
92	93	TMEM40
93	94	SLC29A3
94	95	SLC27A2
95	96	SLC22A4
96	97	SLC19A1
97	98	SIX2
98	99	SIDT1
99	100	SHCBP1
100	101	SGIP1
101	102	SETDB1
102	103	SERPINB1
103	104	SERPINA6
104	105	SELPLG
105	106	SCRIB
106	107	SCO2
107	108	THBS3
108	109	SCNM1
109	110	SCN1A
110	111	SCIN
111	112	SAXO2
112	113	SATB1
113	114	SAT1
114	115	SAC3D1
115	116	RUSC1
116	117	RUNX1T1
117	118	TCTN1
118	119	RUBCN
119	120	RSRC1
120	121	RSPH10B2
121	122	RSPH10B
122	123	RRAD
123	124	RPL39L
124	125	RPL10
125	126	RNFT2
126	127	RNF181
127	128	RNASEH2A
128	129	RHBDL2
129	130	RGS22
130	131	RFC4
131	132	REEP1
132	133	RECQL4
133	134	RBM15
134	135	RAE1
135	136	RAD54L
136	137	RAD51AP1
137	138	RACGAP1
138	139	RAB36
139	140	STMN1
140	141	PZP
141	142	PTTG1
142	143	PTGS2
143	144	PSRC1
144	145	PSMB2
145	146	PRSS8
146	147	PRMT1
147	148	PRELID1
148	149	PRC1
149	150	PRAME
150	151	PPFIA4
151	152	PPFIA1
152	153	POU2AF1
153	154	POLR2J
154	155	POLQ
155	156	POLE2
156	157	PMM2
157	158	PLXNA3
158	159	PLCH1
159	160	PLAC8
160	161	PLA2G4C
161	162	SORBS2
162	163	PFKM
163	164	PFDN4
164	165	PFDN2
165	166	PEA15
166	167	PDSS1
167	168	PDLIM5
168	169	PDE8B
169	170	PCLAF
170	171	PCK2
171	172	PARPBP
172	173	PAMR1
173	174	PAK3
174	175	PAFAH1B3
175	176	PACRG
176	177	PABPC4
177	178	OSBPL2
178	179	ORC6
179	180	OR7E37P
180	181	OGN
181	182	OGDHL
182	183	NXF3
183	184	NUSAP1
184	185	NUF2
185	186	NUDT1
186	187	NSD2
187	188	NREP
188	189	NR2F6
189	190	NPM3
190	191	NMU
191	192	NME5
192	193	NINL
193	194	NFKBIZ
194	195	NDUFS5
195	196	NDUFAF5
196	197	NDNF
197	198	NDC80
198	199	NDC1
199	200	NCBP2
200	201	NCAPH
201	202	NCAPG
202	203	NBEA
203	204	NABP2
204	205	MYLK3
205	206	MYCL
206	207	MYBL2
207	208	MUC13
208	209	MSH3
209	210	MRPS15
210	211	MRPL47
211	212	MRPL30
212	213	MROH9
213	214	MRGBP
214	215	MOSPD3
215	216	SERPINA3
216	217	MMP15
217	218	MLLT3
218	219	MLF2
219	220	MIR7112
220	221	MIR3917
221	222	MIR22HG
222	223	MIR22
223	224	MIR1178
224	225	MFAP2
225	226	MEST
226	227	MEOX1
227	228	MELK
228	229	MEGF11
229	230	MCM6
230	231	MCM4
231	232	MCM2
232	233	MAST4
233	234	MARCKSL1
234	235	MAPK10
235	236	MAP3K19
236	237	MAN2A1
237	238	MAL
238	239	MAK
239	240	LZTS3
240	241	LXN
241	242	LTBP2
242	243	LRRC43
243	244	LRRC36
244	245	LPCAT1
245	246	LOC728196
246	247	LOC642846
247	248	LOC101928817
248	249	LOC101928635
249	250	LOC101927151
250	251	LOC100996696
251	252	LOC100507387
252	253	LOC100288637
253	254	LITAF
254	255	LINC01091
255	256	LIMA1
256	257	LCP2
257	258	LAMA2
258	259	LAGE3
259	260	L1CAM
260	261	KRT8
261	262	KRT7
262	263	RIPOR2
263	264	KLRC2
264	265	KLRC1
265	266	KLK8
266	267	KLK7
267	268	KLK6
268	269	KLHL6
269	270	KLF4
270	271	KLF2
271	272	KL
272	273	KIFC1
273	274	KIF5C
274	275	KIF2C
275	276	KIF23
276	277	KIF22
277	278	KIF20A
278	279	KIF18B
279	280	KIF15
280	281	KIF14
281	282	KIF11
282	283	RAD51
283	284	KIAA0319
284	285	KCNG1
285	286	JPT1
286	287	ITPA
287	288	ITGAL
288	289	ITCH
289	290	IP6K2
290	291	IMP4
291	292	IL7
292	293	IL6ST
293	294	IL33
294	295	IL2RB
295	296	IL15RA
296	297	IFT88
297	298	IFT57
298	299	ICA1
299	300	HSPB8
300	301	HSPA4L
301	302	HRASLS
302	303	HOXA-AS2
303	304	HOMER3
304	305	HMMR
305	306	HJURP
306	307	HIST3H2A
307	308	HIPK1
308	309	HHATL
309	310	HGH1
310	311	HGF
311	312	HELLS
312	313	HAND2-AS1
313	314	GTSE1
314	315	GSTA3
315	316	GPR19
316	317	GPR137
317	318	GPI
318	319	GNGT1
319	320	GMPS
320	321	GLE1
321	322	GLDC
322	323	GK
323	324	PLXNA1
324	325	GINS2
325	326	GINS1
326	327	GGH
327	328	G0S2
328	329	FSCN1
329	330	FOXRED1
330	331	FOXM1
331	332	FMO3
332	333	FLAD1
333	334	FKBP1A
334	335	FHOD3
335	336	FGF2
336	337	FBXL13
337	338	FANCI
338	339	FANCA
339	340	FAM189B
340	341	FAM185A
341	342	FAM162A
342	343	FAM153C
343	344	FAM153B
344	345	FAM153A
345	346	FAM149A
346	347	FAM13C
347	348	FADS2
348	349	FABP6
349	350	FABP5
350	351	F5
351	352	EZH2
352	353	EYA1
353	354	EXO1
354	355	ETS2
355	356	ESPL1
356	357	EPHB3
357	358	EPB41L3
358	359	EP300-AS1
359	360	ENPP2
360	361	EGR3
361	362	EGR1
362	363	EFNA4
363	364	EFHC2
364	365	EFHC1
365	366	EFCAB6
366	367	EFCAB1
367	368	E2F1
368	369	DZIP3
369	370	DUSP1
370	371	DTL
371	372	DTHD1
372	373	DRC3
373	374	DPYD
374	375	DPP3
375	376	DNMT3A
376	377	DNAJC11
377	378	DNAJB14
378	379	DNAI2
379	380	DNAI1
380	381	DNAH9
381	382	DNAH7
382	383	DNAH6
383	384	DNAH11
384	385	DNAAF1
385	386	DNA2
386	387	DMD
387	388	DLGAP5
388	389	DLEC1
389	390	DLC1
390	391	DIXDC1
391	392	DGAT1
392	393	DEPDC1
393	394	DDX39A
394	395	DDX12P
395	396	DDX11
396	397	DBN1
397	398	CYB5D1
398	399	CXorf57
399	400	CXCL2
400	401	CXCL12
401	402	CWH43
402	403	CTSS
403	404	CTGF
404	405	CSTF1
405	406	CRISP3
406	407	CRISP2
407	408	CRABP2
408	409	CPNE1
409	410	CPEB1
410	411	CORO2B
411	412	COL21A1
412	413	CNPY2
413	414	CNGA1
414	415	CLPB
415	416	CKS2
416	417	CIT
417	418	CIAO1
418	419	CHERP
419	420	CHEK2
420	421	CHCHD7
421	422	CFI
422	423	CFAP58
423	424	CFAP54
424	425	CFAP53
425	426	CFAP45
426	427	CFAP157
427	428	CEP55
428	429	CENPU
429	430	CENPN
430	431	CENPI
431	432	CENPF
432	433	CENPE
433	434	CENPA
434	435	CDKN2A
435	436	CDKN1A
436	437	CDK1
437	438	CDH6
438	439	CDCA8
439	440	CDCA4
440	441	CDCA3
441	442	CDC25C
442	443	CDC25A
443	444	CDC20
444	445	CD83
445	446	CD74
446	447	CD69
447	448	CCNE1
448	449	CCNB2
449	450	CCNB1
450	451	CCL4
451	452	CCDC81
452	453	CCDC69
453	454	CCDC33
454	455	CCDC3
455	456	CCDC198
456	457	CASP4
457	458	CAPN2
458	459	CAD
459	460	C6
460	461	C5AR1
461	462	C2orf50
462	463	C22orf23
463	464	C22orf15
464	465	C1orf35
465	466	C1orf216
466	467	C11orf88
467	468	BUB1B
468	469	BUB1
469	470	BST2
470	471	MBD3L1
471	472	BRD9
472	473	BOP1
473	474	BOLA2B
474	475	BOLA2
475	476	BLM
476	477	BIRC5
477	478	BIRC3
478	479	BABAM1
479	480	AURKA
480	481	AUNIP
481	482	ATP2C2
482	483	ATAD2
483	484	ASPM
484	485	ASF1B
485	486	ARMC4
486	487	ARMC2
487	488	ARHGAP44
488	489	ARHGAP32
489	490	ARHGAP11B
490	491	ARHGAP10
491	492	ANXA13
492	493	ANLN
493	494	ANKFN1
494	495	ALG3
495	496	ALDH1A3
496	497	ALDH1A2
497	498	ALDH1A1
498	499	AKR1C3
499	500	AK7
500	501	AJUBA
501	502	AIP
502	503	AIF1L
503	504	AHI1
504	505	AGR2
505	506	AGBL2
506	507	AFF1
507	508	ADRB2
508	509	ADH6
509	510	ADGB
510	511	ACTR2
511	512	ACSL5
512	513	ACKR4
513	514	ABR
514	515	ABCC1
515	516	ABCA8
516	517	ABCA13
