	0	1
0	1	ARHGAP10
1	2	TBX19
2	3	DLC1
3	4	KLF4
4	5	NDC1
5	6	CDKN1A
6	7	FGF2
7	8	IL15RA
8	9	DIXDC1
9	10	LAMA2
10	11	IL2RB
11	12	ALDH1A1
12	13	CD69
13	14	ZHX1-C8orf76
14	15	SAT1
15	16	KLF2
16	17	CD83
17	18	CRISP3
18	19	TACC1
19	20	POLE2
20	21	LCP2
21	22	ITGAL
22	23	MOSPD3
23	24	SERPINA3
24	25	PTGS2
25	26	SGIP1
26	27	L1CAM
27	28	CRABP2
28	29	RUNX1T1
29	30	NFKBIZ
30	31	KLK6
31	32	SCRIB
32	33	XPO4
33	34	IP6K2
34	35	CCL4
35	36	IL33
36	37	PLXNA1
37	38	SERPINB1
38	39	NDUFAF5
39	40	KCNG1
40	41	DUSP1
41	42	TFPI
42	43	PFDN4
43	44	MAST4
44	45	AHI1
45	46	TPBG
46	47	TRIM22
47	48	HGF
48	49	GPR137
49	50	EFNA4
50	51	SELPLG
51	52	AUNIP
52	53	SCNM1
53	54	TNFAIP8L2-SCNM1
54	55	SOX12
55	56	STMN1
56	57	SYNE1
57	58	ZNF767P
58	59	NABP2
59	60	AFF1
60	61	GINS1
61	62	CRISP2
62	63	HIST3H2A
63	64	HGH1
64	65	SIDT1
65	66	CXCL12
66	67	KLRC2
67	68	KLRC1
68	69	MIR22HG
69	70	MIR22
70	71	LOC101927151
71	72	AURKA
72	73	SOCS2
73	74	G0S2
74	75	BLM
75	76	KIF5C
76	77	EZH2
77	78	POLR2J
78	79	NR2F6
79	80	BABAM1
80	81	ABCC1
81	82	CXCL2
82	83	MAK
83	84	CYB5D1
84	85	VAX2
85	86	FKBP1A
86	87	EGR1
87	88	GLE1
88	89	SPACA9
89	90	RRAD
90	91	BRD9
91	92	ICA1
92	93	TARP
93	94	TRGV9
94	95	TRGC2
95	96	EGR3
96	97	LZTS3
97	98	CENPU
98	99	CHCHD7
99	100	CDCA3
100	101	TTK
101	102	TROAP
102	103	ASF1B
103	104	SPDL1
104	105	KL
105	106	HSPB8
106	107	EPHB3
107	108	ZNF467
108	109	CDH6
109	110	TCF7
110	111	WDR12
111	112	PDLIM5
112	113	ENPP2
113	114	SIX2
114	115	KRT7
115	116	CSTF1
116	117	LITAF
117	118	NUF2
118	119	CFI
119	120	RUSC1
120	121	FABP6
121	122	MLLT3
122	123	NINL
123	124	PSMB2
124	125	CNPY2
125	126	ZFP36
126	127	ALDH1A2
127	128	LOC101928635
128	129	KIF11
129	130	PLXNA3
130	131	PPFIA1
131	132	DPYD
132	133	ZNF668
133	134	HSPA4L
134	135	ABR
135	136	RIPOR2
136	137	FANCI
137	138	WDR66
138	139	CIAO1
139	140	ACSL5
140	141	SYNGR3
141	142	C6
142	143	TMEM79
143	144	FMO3
144	145	ITCH
145	146	BIRC3
146	147	LTBP2
147	148	AGR2
148	149	HAND2-AS1
149	150	NCBP2
150	151	ACTR2
151	152	BUB1
152	153	ZWINT
153	154	DNAJB14
154	155	LINC01091
155	156	TRIM23
156	157	AJUBA
157	158	ALDH1A3
158	159	ETS2
159	160	SLC6A8
160	161	HELLS
161	162	TMEM232
162	163	KIF20A
163	164	SCN1A
164	165	DNMT3A
165	166	VNN2
166	167	FAM162A
167	168	PAK3
168	169	MCM6
169	170	MRGBP
170	171	KIF14
171	172	UBE2C
172	173	NMU
173	174	PEA15
174	175	IL6ST
