	0	1
0	1	ABR
1	2	ZWINT
2	3	ZNF767P
3	4	ZNF668
4	5	ZNF516
5	6	ZNF467
6	7	ZNF204P
7	8	ZHX1-C8orf76
8	9	ZFP36
9	10	AFF1
10	11	ADRB2
11	12	ADH6
12	13	ADGB
13	14	ACTR2
14	15	ACSL5
15	16	ACKR4
16	17	ZBED3-AS1
17	18	AGBL2
18	19	ZBBX
19	20	AGR2
20	21	XPO5
21	22	AHI1
22	23	XPO4
23	24	AIF1L
24	25	WDR86-AS1
25	26	AIP
26	27	WDR66
27	28	AJUBA
28	29	WDR49
29	30	AK7
30	31	WDR17
31	32	AKR1C3
32	33	WDR12
33	34	ALDH1A1
34	35	VWA5A
35	36	ALDH1A2
36	37	VWA3B
37	38	ALDH1A3
38	39	VNN3
39	40	ALG3
40	41	VNN2
41	42	ANKFN1
42	43	VNN1
43	44	ANLN
44	45	VAX2
45	46	ANXA13
46	47	UTP11
47	48	ARHGAP10
48	49	USP5
49	50	ARHGAP11B
50	51	USP19
51	52	ARHGAP32
52	53	UBE2C
53	54	ARHGAP44
54	55	TUBG1
55	56	ARMC2
56	57	TUBA4B
57	58	ARMC4
58	59	TTK
59	60	ASF1B
60	61	TTC29
61	62	ASPM
62	63	TTC25
63	64	ATAD2
64	65	TSGA10
65	66	ATP2C2
66	67	TROAP
67	68	AUNIP
68	69	TRIM23
69	70	AURKA
70	71	TRIM22
71	72	BABAM1
72	73	TRGV9
73	74	BIRC3
74	75	TRGC2
75	76	BIRC5
76	77	TPX2
77	78	BLM
78	79	TPPP3
79	80	BOLA2
80	81	TPBG
81	82	BOLA2B
82	83	TOP2A
83	84	BOP1
84	85	TOMM40
85	86	BRD9
86	87	TNNT1
87	88	BST2
88	89	TNFAIP8L2-SCNM1
89	90	BUB1
90	91	TMEM79
91	92	BUB1B
92	93	TMEM40
93	94	C11orf88
94	95	TMEM39B
95	96	C1orf216
96	97	TMEM232
97	98	C1orf35
98	99	TMEM183B
99	100	C22orf15
100	101	TMEM183A
101	102	C22orf23
102	103	TMC5
103	104	C2orf50
104	105	TM9SF4
105	106	C5AR1
106	107	TIMELESS
107	108	C6
108	109	THBS3
109	110	CAD
110	111	TFPI
111	112	CAPN2
112	113	TENT5A
113	114	CASP4
114	115	TEKT3
115	116	CCDC198
116	117	TEDC2
117	118	CCDC3
118	119	TCTN1
119	120	CCDC33
120	121	TCTEX1D1
121	122	CCDC69
122	123	TCF7
123	124	CCDC81
124	125	TBX19
125	126	CCL4
126	127	TARP
127	128	CCNB1
128	129	TACC3
129	130	CCNB2
130	131	TACC1
131	132	CCNE1
132	133	SYNGR3
133	134	CD69
134	135	SYNE1
135	136	CD74
136	137	SUB1
137	138	CD83
138	139	STX10
139	140	CDC20
140	141	STMN1
141	142	CDC25A
142	143	STIL
143	144	CDC25C
144	145	SRD5A2
145	146	CDCA3
146	147	SQOR
147	148	CDCA4
148	149	SPDL1
149	150	CDCA8
150	151	SPAG8
151	152	CDH6
152	153	SPAG6
153	154	CDK1
154	155	SPAG5
155	156	CDKN1A
156	157	SPACA9
157	158	CDKN2A
158	159	SOX3
159	160	CENPA
160	161	SOX12
161	162	CENPE
162	163	SORBS2
163	164	CENPF
164	165	SOCS2
165	166	CENPI
166	167	SNRPF
167	168	CENPN
168	169	SNRPB
169	170	CENPU
170	171	SMAD6
171	172	CEP55
172	173	SLC9C2
173	174	CFAP157
174	175	SLC6A8
175	176	CFAP45
176	177	SLC6A10PB
177	178	CFAP53
178	179	SLC6A10P
179	180	CFAP54
180	181	SLC5A6
181	182	CFAP58
182	183	SLC4A3
183	184	CFI
184	185	SLC48A1
185	186	CHCHD7
186	187	SLC43A3
187	188	CHEK2
188	189	SLC40A1
189	190	CHERP
190	191	SLC39A4
191	192	CIAO1
192	193	SLC35F6
193	194	CIT
194	195	SLC29A3
195	196	CKS2
196	197	SLC27A2
197	198	CLPB
198	199	SLC22A4
199	200	CNGA1
200	201	SLC19A1
201	202	CNPY2
202	203	SIX2
203	204	COL21A1
204	205	SIDT1
205	206	CORO2B
206	207	SHCBP1
207	208	CPEB1
208	209	SGIP1
209	210	CPNE1
210	211	SETDB1
211	212	CRABP2
212	213	SERPINB1
213	214	CRISP2
214	215	SERPINA6
215	216	CRISP3
216	217	SERPINA3
217	218	CSTF1
218	219	SELPLG
219	220	CTGF
220	221	SCRIB
221	222	CTSS
222	223	SCO2
223	224	CWH43
224	225	SCNM1
225	226	CXCL12
226	227	SCN1A
227	228	CXCL2
228	229	SCIN
229	230	CXorf57
230	231	SAXO2
231	232	CYB5D1
232	233	SATB1
233	234	DBN1
234	235	SAT1
235	236	DDX11
236	237	SAC3D1
237	238	DDX12P
238	239	RUSC1
239	240	DDX39A
240	241	RUNX1T1
241	242	DEPDC1
242	243	RUBCN
243	244	DGAT1
244	245	RSRC1
245	246	DIXDC1
246	247	RSPH10B2
247	248	DLC1
248	249	RSPH10B
249	250	DLEC1
250	251	RRAD
251	252	DLGAP5
252	253	RPL39L
253	254	DMD
254	255	RPL10
255	256	DNA2
256	257	RNFT2
257	258	DNAAF1
258	259	RNF181
259	260	DNAH11
260	261	RNASEH2A
261	262	DNAH6
262	263	RIPOR2
263	264	DNAH7
264	265	RHBDL2
265	266	DNAH9
266	267	RGS22
267	268	DNAI1
268	269	RFC4
269	270	DNAI2
270	271	REEP1
271	272	DNAJB14
272	273	RECQL4
273	274	DNAJC11
274	275	RBM15
275	276	DNMT3A
276	277	RAE1
277	278	DPP3
278	279	RAD54L
279	280	DPYD
280	281	RAD51AP1
281	282	DRC3
282	283	RAD51
283	284	DTHD1
284	285	RACGAP1
285	286	DTL
286	287	RAB36
287	288	DUSP1
288	289	PZP
289	290	DZIP3
290	291	PTTG1
291	292	E2F1
292	293	PTGS2
293	294	EFCAB1
294	295	PSRC1
295	296	EFCAB6
296	297	PSMB2
297	298	EFHC1
298	299	PRSS8
299	300	EFHC2
300	301	PRMT1
301	302	EFNA4
302	303	PRELID1
303	304	EGR1
304	305	PRC1
305	306	EGR3
306	307	PRAME
307	308	ENPP2
308	309	PPFIA4
309	310	EP300-AS1
310	311	PPFIA1
311	312	EPB41L3
312	313	POU2AF1
313	314	EPHB3
314	315	POLR2J
315	316	ESPL1
316	317	POLQ
317	318	ETS2
318	319	POLE2
319	320	EXO1
320	321	PMM2
321	322	EYA1
322	323	PLXNA3
323	324	EZH2
324	325	PLXNA1
325	326	F5
326	327	PLCH1
327	328	FABP5
328	329	PLAC8
329	330	FABP6
330	331	PLA2G4C
331	332	FADS2
332	333	PFKM
333	334	FAM13C
334	335	PFDN4
335	336	FAM149A
336	337	PFDN2
337	338	FAM153A
338	339	PEA15
339	340	FAM153B
340	341	PDSS1
341	342	FAM153C
342	343	PDLIM5
343	344	FAM162A
344	345	PDE8B
345	346	FAM185A
346	347	PCLAF
347	348	FAM189B
348	349	PCK2
349	350	FANCA
350	351	PARPBP
351	352	FANCI
352	353	PAMR1
353	354	FBXL13
354	355	PAK3
355	356	FGF2
356	357	PAFAH1B3
357	358	FHOD3
358	359	PACRG
359	360	FKBP1A
360	361	PABPC4
361	362	FLAD1
362	363	OSBPL2
363	364	FMO3
364	365	ORC6
365	366	FOXM1
366	367	OR7E37P
367	368	FOXRED1
368	369	OGN
369	370	FSCN1
370	371	OGDHL
371	372	G0S2
372	373	NXF3
373	374	GGH
374	375	NUSAP1
375	376	GINS1
376	377	NUF2
377	378	GINS2
378	379	NUDT1
379	380	GK
380	381	NSD2
381	382	GLDC
382	383	NREP
383	384	GLE1
384	385	NR2F6
385	386	GMPS
386	387	NPM3
387	388	GNGT1
388	389	NMU
389	390	GPI
390	391	NME5
391	392	GPR137
392	393	NINL
393	394	GPR19
394	395	NFKBIZ
395	396	GSTA3
396	397	NDUFS5
397	398	GTSE1
398	399	NDUFAF5
399	400	HAND2-AS1
