"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CRISP3",1.93035505494026,5.10702591327572e-16,12.8241132085171,8.17178695216459e-14,3.26871478086584e-12,21.454711554095
"CRABP2",-1.87519157029984,9.43689570931383e-17,-10.9088447968802,4.79274548116571e-12,9.58549096233143e-11,17.3485604466071
"DLC1",1.81294923931795,-2.45636844198316e-16,9.41449154441024,1.57315662091531e-10,2.09754216122042e-09,13.8228345102581
"PTGS2",1.7945035528656,2.39738784379995e-16,9.05583562683157,3.79720726133648e-10,3.79720726133648e-09,12.9329028935096
"CD69",1.78403654511636,1.07552855510562e-16,8.86529967941864,6.10600673340507e-10,3.80880985448329e-09,12.4532492224367
"TBX19",-1.78253734425826,9.15933995315754e-16,-8.83871777632221,6.52682461245641e-10,3.80880985448329e-09,12.3859549738832
"ZHX1-C8orf76",-1.78206310361639,-7.04991620636974e-16,-8.83034493621541,6.66541724534575e-10,3.80880985448329e-09,12.3647393786913
"NDC1",-1.75736504273135,-8.2052420413703e-16,-8.4165326703181,1.9045137819611e-09,8.67028973486577e-09,11.3049028463815
"IL33",1.75677620088431,4.14251966063262e-16,8.40716629639753,1.9508151903448e-09,8.67028973486577e-09,11.2806601729715
"DIXDC1",1.73780436882087,2.35922392732846e-16,8.11658146040126,4.13321694044153e-09,1.58597168444222e-08,10.5230701251331
"ALDH1A1",1.73640319238501,-2.48412401759879e-16,8.09593991529098,4.36142213221611e-09,1.58597168444222e-08,10.4688555817662
"TACC1",1.72659890114506,-2.5951463200613e-16,7.95445161167124,6.31304629062284e-09,2.10434876354095e-08,10.095837748364
"PLXNA1",-1.72000879819261,1.04916075827077e-15,-7.86213188736496,8.04675285212342e-09,2.47592395449951e-08,9.85114287576614
"NFKBIZ",1.70726660643384,-2.33146835171283e-16,7.6895864072394,1.26998573588859e-08,3.62853067396739e-08,9.39110227106966
"POLE2",-1.69805214239892,-6.45664077758568e-16,-7.56941697497853,1.74881562947969e-08,4.66350834527917e-08,9.06866954353089
"FGF2",1.69326120608815,-4.33854341341799e-16,7.50838124212008,2.05874157448005e-08,5.07713856059932e-08,8.90427550313205
"RUNX1T1",1.69186977490924,7.07767178198537e-16,7.49083411101159,2.15778388825471e-08,5.07713856059932e-08,8.8569370067846
"KLK6",-1.68166497442365,7.7715611723761e-17,-7.36453204957609,3.02933587257716e-08,6.73185749461591e-08,8.51520265710328
"LAMA2",1.67999759652971,-5.89805981832114e-16,7.34428462919843,3.1992010627415e-08,6.73516013208737e-08,8.46025863061239
"CDKN1A",1.66908444789308,3.12250225675825e-16,7.21434533471087,4.54547518673698e-08,9.09095037347397e-08,8.10661972758971
"KLF4",1.66308416319086,5.92581539393677e-16,7.14474356938995,5.49062099197858e-08,1.04583256990068e-07,7.91647501654571
"IP6K2",-1.65915540063288,-2.0122792321331e-16,-7.0998512466508,6.20382536280192e-08,1.12796824778217e-07,7.79357468052001
"SAT1",1.65636893922617,-4.85722573273506e-18,7.06833015467391,6.76015439134001e-08,1.17567902458087e-07,7.70716085775432
"KCNG1",-1.63181456406856,-5.35682609381638e-16,-6.8013651546163,1.40490989985164e-07,2.34151649975274e-07,6.97149995101631
"SERPINB1",1.61544028876423,3.10862446895044e-16,6.63331184857976,2.23466517444566e-07,3.57546427911305e-07,6.50515752423115
"ITGAL",1.61180755711049,-3.1485231088979e-16,6.59702826312388,2.47105391912353e-07,3.8016214140362e-07,6.40416784595631
"NDUFAF5",-1.60960350798657,-2.42167397246362e-16,-6.57518470793385,2.62541210446371e-07,3.88528872305572e-07,6.34331994882488
"L1CAM",-1.60794764476242,8.8106605344862e-16,-6.55885763069504,2.74712943991583e-07,3.88528872305572e-07,6.29781482263778
"SERPINA3",1.60702936319634,-3.46944695195361e-16,6.54983389874787,2.81683432421539e-07,3.88528872305572e-07,6.27265607908078
"SGIP1",1.6011687335561,1.58206781009085e-16,6.49275122723994,3.30120424922081e-07,4.40160566562774e-07,6.11336440089259
"IL15RA",1.59848320368734,3.97858829215281e-16,6.46688319341416,3.54765286602839e-07,4.57761660132696e-07,6.0410997495717
"MOSPD3",-1.57607036595326,2.06779038336435e-16,-6.2577332209007,6.36262714011476e-07,7.95328392514344e-07,5.45514604487582
"CD83",1.56980116511924,1.38257461035352e-16,6.2012795759148,7.45361495517145e-07,9.03324275891636e-07,5.2965166915861
"LCP2",1.56861525831202,-6.55378529224038e-16,6.19069663660948,7.67825634507891e-07,9.03324275891636e-07,5.2667594139712
"XPO4",-1.53882892431502,-9.0205620750794e-17,-5.93435698151121,1.57986586853507e-06,1.80556099261151e-06,4.54426929541947
"KLF2",1.53236334521241,-4.5102810375397e-17,5.88098932295081,1.83686728589828e-06,1.98913388637503e-06,4.39350107158179
"CCL4",1.53229095051728,4.13558076672871e-16,5.88039611910419,1.83994884489691e-06,1.98913388637503e-06,4.39182465768461
"ARHGAP10",1.52340507744869,-1.09634523681734e-16,5.80830056787274,2.25600167247321e-06,2.37473860260337e-06,4.1879966398334
"SCRIB",-1.51388335042,5.1833537462187e-16,-5.73258034428611,2.79539300352148e-06,2.82137057513773e-06,3.97376429641684
"IL2RB",1.513468344817,6.25541285437237e-16,5.72931521142171,2.82137057513773e-06,2.82137057513773e-06,3.96452329359694
