"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CRISP3",1.93035505494026,5.10702591327572e-16,15.3486095756117,1.73714454602289e-15,6.94857818409156e-14,25.3015859020101
"CRISP2",1.87755692414711,-5.63785129692462e-16,12.4543345549613,3.47578149059288e-13,5.6330714608855e-12,19.936435245376
"CRABP2",-1.87519157029984,9.43689570931383e-17,-12.3559926680805,4.22480359566412e-13,5.6330714608855e-12,19.7384915706826
"NUF2",-1.86230844211387,-5.96744875736022e-16,-11.8526863087576,1.16673603484863e-12,1.04277136520088e-11,18.7078940573672
"AURKA",-1.86084299178544,-1.52655665885959e-16,-11.7986348479957,1.3034642065011e-12,1.04277136520088e-11,18.5954443985121
"C6",1.85341859843465,-1.88044024795886e-16,11.533890316409,2.25404235058935e-12,1.5026949003929e-11,18.0396132469897
"SCN1A",1.84678658696573,-2.48412401759879e-16,11.3094141870698,3.60964137441905e-12,1.98728587780367e-11,17.5616772353718
"GINS1",-1.84540093211266,-5.82867087928207e-17,-11.263853494442,3.97457175560734e-12,1.98728587780367e-11,17.4639202543639
"KIF20A",-1.82627321516876,-8.49320613838245e-16,-10.677361453639,1.40449461810355e-11,6.24219830268243e-11,16.1824638283359
"STMN1",-1.81798067797986,2.44249065417534e-16,-10.4450875396652,2.34294107602005e-11,9.37176430408021e-11,15.6629531689472
"DLC1",1.81294923931795,-2.45636844198316e-16,10.309887548292,3.1657979876218e-11,1.10982879006925e-10,15.3573789898672
"EFNA4",-1.81209513270419,-3.02535774210355e-16,-10.2873449305858,3.32948637020776e-11,1.10982879006925e-10,15.306200042498
"PTGS2",1.7945035528656,2.39738784379995e-16,9.84733929667713,9.02379146083612e-11,2.77655121871881e-10,14.2940538295032
"EZH2",-1.79018058255659,-1.4432899320127e-16,-9.74577880680839,1.13993000966115e-10,3.1632396878783e-10,14.0568492515372
"FABP6",1.78943646716907,-2.08513761812412e-16,9.72853935930987,1.18621488295436e-10,3.1632396878783e-10,14.0164507414514
"TBX19",-1.78253734425826,9.15933995315754e-16,-9.57196249774084,1.70579364285941e-10,4.11357907791762e-10,13.6477477940683
"ZHX1-C8orf76",-1.78206310361639,-7.04991620636974e-16,-9.56141019691178,1.74827110811499e-10,4.11357907791762e-10,13.6227837857733
"RIPOR2",1.76516536148062,5.3707038816242e-16,9.20183295662206,4.07762633469653e-10,9.06139185488117e-10,12.7633704911426
"CCDC81",1.76238588039606,-1.11022302462516e-17,9.14556435559238,4.66262945184851e-10,9.81606200389161e-10,12.6273467409322
"MAK",1.76000635519915,-5.93275428784068e-16,9.09799720302091,5.22386535800161e-10,1.04477307160032e-09,12.5120334528881
"NDC1",-1.75736504273135,-8.2052420413703e-16,-9.04583545634513,5.91929301807422e-10,1.1064578375697e-09,12.3852403751051
"IL33",1.75677620088431,4.14251966063262e-16,9.03429688249146,6.08551810663335e-10,1.1064578375697e-09,12.357144562246
"ALDH1A1",1.73640319238501,-2.48412401759879e-16,8.65403090600804,1.53090540821282e-09,2.66244418819621e-09,11.421474320209
"TACC1",1.72659890114506,-2.5951463200613e-16,8.4831080769403,2.33197965377171e-09,3.88663275628618e-09,10.9947844057986
"PLXNA1",-1.72000879819261,1.04916075827077e-15,-8.37221608970239,3.07040365882846e-09,4.91264585412553e-09,10.7159444098688
"HGH1",-1.71202754671961,-3.95516952522712e-16,-8.2419565785243,4.25030906781863e-09,6.53893702741327e-09,10.3864010996386
"LOC101927151",-1.70698709532145,1.97064586870965e-16,-8.16186452570389,5.1967171728969e-09,7.69884025614355e-09,10.1827105597802
"ALDH1A2",1.7045082633131,-6.89726054048379e-16,8.12306977865219,5.72992029825849e-09,7.9033383424255e-09,10.0837578340137
"LOC101928635",1.7045082633131,-6.89726054048379e-16,8.12306977865219,5.72992029825849e-09,7.9033383424255e-09,10.0837578340137
"AHI1",1.69327560545122,-1.10744746706359e-15,7.95196247947104,8.83574899398376e-09,1.14071870615537e-08,9.64508407070153
"FGF2",1.69326120608815,-4.33854341341799e-16,7.95174790508609,8.8405699727041e-09,1.14071870615537e-08,9.64453168829115
"RUNX1T1",1.69186977490924,7.07767178198537e-16,7.93106920667394,9.31798545114815e-09,1.16474818139352e-08,9.5912716798399
"BABAM1",-1.67735949740829,-3.74353326115795e-16,-7.72178702310809,1.59152709331033e-08,1.92912374946706e-08,9.04932289406358
"KLF4",1.66308416319086,5.92581539393677e-16,7.52648112073065,2.63580499657432e-08,3.10094705479332e-08,8.53886617966896
"MAST4",1.6598664386175,-1.08836550882785e-15,7.48380893572037,2.94478431086807e-08,3.36546778384923e-08,8.42674766326522
"CSTF1",-1.62154631103629,-4.48252546192407e-16,-7.00961881281723,1.02394955942647e-07,1.13772173269607e-07,7.16731407164858
"SGIP1",1.6011687335561,1.58206781009085e-16,6.78003187519639,1.88911225441144e-07,2.04228351828263e-07,6.54920468325658
"IL15RA",1.59848320368734,3.97858829215281e-16,6.75081057954098,2.04307564218126e-07,2.15060593913817e-07,6.47017432255821
"XPO4",-1.53882892431502,-9.0205620750794e-17,-6.15537821768768,1.02650822927698e-06,1.0528289531046e-06,4.84443752209987
"ARHGAP10",1.52340507744869,-1.09634523681734e-16,6.01605683279852,1.50415624946854e-06,1.50415624946854e-06,4.46048133367219
