"p","outcome"
4.42270459306812e-08,1
1,1
1,1
0.626860921640352,1
2.22044604925031e-16,1
1,1
0.999999999999879,1
2.01139290472453e-11,1
1,1
1,1
1,1
1,1
1,1
1.68146252527066e-11,1
2.22044604925031e-16,1
1,1
0.0053804628671859,1
0.999999999999863,1
0.999952459514727,1
1,1
2.22044604925031e-16,1
2.84628361719571e-06,1
1,1
1,1
1,1
2.22044604925031e-16,1
8.83429731819849e-12,1
2.22044604925031e-16,1
1,1
0.99046510282174,0
2.22044604925031e-16,0
1,0
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
0.0647365926188661,0
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
0.913033693236577,0
0.99475489940303,0
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
0.0107706002126705,0
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
1,0
2.22044604925031e-16,0
2.22044604925031e-16,0
0.100195750396548,0
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
0.999999999852218,0
2.22044604925031e-16,0
8.62604380865756e-06,0
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
0.999999999935074,0
2.22044604925031e-16,0
2.15857207412452e-13,0
0.999999640897157,0
0.00112515418818624,0
2.22044604925031e-16,0
0.999999997517294,0
8.78389231978838e-12,0
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
1,0
2.22044604925031e-16,0
1.04182305427885e-13,0
2.22044604925031e-16,0
2.22044604925031e-16,0
0.99966211265816,0
2.22044604925031e-16,0
