	0	1
0	1	GLYR1
1	2	SGSH
2	3	PLEC
3	4	MIR3117
4	5	VNN1
5	6	LINC01268
6	7	FASTKD5
7	8	PLA2G4C
8	9	LINC02081
9	10	MIRLET7E
10	11	FNBP1L
11	12	ACADVL
12	13	MFSD4A
13	14	VAMP2
14	15	MIR3151
15	16	SLC12A4
16	17	PRKAG1
17	18	MYCT1
18	19	PKHD1L1
19	20	PCDHGA12
20	21	SYT15
21	22	GOLGA7
22	23	ZNF284
23	24	UTP25
24	25	STX19
25	26	ATP8A2
26	27	OR51A7
27	28	CDK2AP2
28	29	CCND2
29	30	FADS2
30	31	PLD4
31	32	CKAP2
32	33	LINC01427
33	34	DRG2
34	35	MED13
35	36	SHROOM4
36	37	AAR2
37	38	LINC02035
38	39	EIF4A3
39	40	KAT5
40	41	WIF1
41	42	STARD7
42	43	PF4V1
43	44	CSTF1
44	45	CCL8
45	46	THBS3
46	47	TRBC2
47	48	ASPSCR1
48	49	BCL7A
49	50	BRCC3
50	51	ELAVL1
51	52	BRD3OS
52	53	TBC1D10A
53	54	NCALD
54	55	MMRN1
55	56	C1orf123
56	57	WDR3
57	58	HSPA8
58	59	U2SURP
59	60	SUOX
60	61	MRPL51
61	62	PEBP1
62	63	C19orf33
63	64	GNPTAB
64	65	ATG4C
65	66	RAP1GDS1
66	67	METTL16
67	68	MRPL49
68	69	NCL
69	70	MRPS31P5
70	71	PHYH
71	72	VEGFB
72	73	NECAB1
73	74	ABHD14B
74	75	USP47
75	76	HTATSF1
76	77	PAICS
77	78	RUVBL2
78	79	CD6
79	80	ZCCHC4
80	81	CD3G
81	82	RXFP2
82	83	EPRS
83	84	BAZ1B
84	85	MED1
85	86	TERF2
86	87	MPI
87	88	RPRD2
88	89	LDHB
89	90	TRBJ2-6
90	91	MIR4489
91	92	AVPR1A
92	93	HTR4
93	94	NOA1
94	95	ST7
95	96	THOC1
96	97	UTP20
97	98	UMPS
98	99	YARS
99	100	MTREX
100	101	PARP1
101	102	GPR18
102	103	PRMT9
103	104	RBBP7
104	105	IKZF3
105	106	LINC00906
106	107	KCNH7
107	108	DLAT
108	109	CD5
109	110	ZW10
110	111	DHDDS
111	112	HSPA9
112	113	API5
113	114	CWF19L2
114	115	HSP90B1
115	116	XPA
116	117	NOB1
117	118	TRBV6-6
118	119	LOC100505498
119	120	TRBV5-6
120	121	ABCD2
121	122	ZNF841
122	123	HNRNPR
123	124	TMEM109
124	125	TOMM70
125	126	PSMC4
126	127	LGALSL
127	128	PHB
128	129	SERPINA11
129	130	AARS
130	131	PRM1
