	0	1
0	1	ZNF500
1	2	GUCY1B1
2	3	ACADVL
3	4	GLYR1
4	5	CASC20
5	6	ICK
6	7	ADAMTS9-AS2
7	8	USP14
8	9	MFSD4A
9	10	LOC101928461
10	11	MMP1
11	12	LOC101927699
12	13	TTC37
13	14	CAPRIN1
14	15	IGFBP2
15	16	SCARF1
16	17	CYP4V2
17	18	DIS3L
18	19	CHML
19	20	KIF3A
20	21	CSTF3
21	22	FANCF
22	23	EBAG9
23	24	NAA30
24	25	CLINT1
25	26	CAMKK2
26	27	ZNF749
27	28	KIF20B
28	29	MRPS31
29	30	SUV39H1
30	31	LINC01310
31	32	ATP8A2
32	33	MICAL1
33	34	GPM6B
34	35	PPIB
35	36	RBM45
36	37	USP11
37	38	MCM6
38	39	CD63
39	40	CCDC43
40	41	TM9SF3
41	42	CD177
42	43	CYB5B
43	44	TSEN54
44	45	SKAP1
45	46	YTHDF2
46	47	PPP1R16B
47	48	MTF2
48	49	FADS2
49	50	DDX24
50	51	SEPT1
51	52	CALB1
52	53	AQP12B
53	54	DDX47
54	55	LINC00906
55	56	DYNC1I2
56	57	SMC3
57	58	SLFN5
58	59	KHDRBS1
59	60	RBM34
60	61	ARHGEF3
61	62	NSRP1
62	63	LINC01427
63	64	FNBP1L
64	65	PCED1B-AS1
65	66	AVPR1A
66	67	ZMYND11
67	68	BCL7A
68	69	ZFP82
69	70	RRP1B
70	71	ANAPC7
71	72	LOC389765
72	73	ECD
73	74	COPS6
74	75	IL1R1
75	76	RBPMS2
76	77	MIR3151
77	78	MCM2
78	79	STARD4
79	80	CCT4
80	81	PLEKHB1
81	82	ZNF836
82	83	PNO1
83	84	ANGPT1
84	85	MIR4451
85	86	EXOSC2
86	87	STX19
87	88	LSG1
88	89	IMPDH2
89	90	NVL
90	91	LINC01563
91	92	MPP5
92	93	PDGFD
93	94	MAP3K9
94	95	FAM86DP
95	96	LINC02035
96	97	NOA1
97	98	PIH1D2
98	99	ASPSCR1
99	100	TRAV2
100	101	LRPPRC
101	102	RPH3A
102	103	MIR524
103	104	MED13
104	105	AES
105	106	HSPH1
106	107	IRAK1BP1
107	108	GP1BA
108	109	EIF3G
109	110	C2orf88
110	111	CALD1
111	112	TRBJ2-3
112	113	TULP4
113	114	VEGFB
114	115	MRFAP1L1
115	116	IL21R
116	117	CBX5
117	118	ZNF607
118	119	CXCL5
119	120	CFAP298
120	121	SMC2
121	122	SEC22A
122	123	POLR3B
123	124	LHFPL6
124	125	TAF5
125	126	NANOG
126	127	GSK3B
127	128	MOCS2
128	129	NAP1L3
129	130	ATP5PB
130	131	DGKI
131	132	UPF3B
132	133	RHOF
133	134	SLC25A4
134	135	SSB
135	136	PAQR8
136	137	SIGIRR
137	138	ALKBH3
138	139	CLCA3P
139	140	PRPF38A
140	141	FTO
141	142	MRPL58
142	143	HSP90AA1
143	144	RIOK2
144	145	LIX1L
145	146	ASRGL1
146	147	TOE1
147	148	ATG16L2
148	149	PPP3CC
149	150	PRPS2
150	151	SP4
151	152	HACD3
152	153	SNX25
153	154	SIGLEC17P
154	155	PRPF4
155	156	GPN1
156	157	UBIAD1
157	158	TXNDC12
158	159	SNRNP40
159	160	GUSBP1
160	161	RAB26
161	162	CPSF4
162	163	TP53RK
163	164	WASF3
164	165	ZNF75A
165	166	TRBJ2-2
166	167	INTS13
167	168	CDR2L
168	169	TRAV8-3
169	170	ZNF383
170	171	TNFAIP8L1
171	172	MAGED1
172	173	SMC4
173	174	CMTM5
174	175	ANKRD54
175	176	PRKCSH
176	177	FXN
177	178	TRBV20-1
178	179	NELFA
179	180	SNRNP27
180	181	ZNF346
181	182	DKC1
182	183	IL2RB
183	184	PEX3
184	185	RNF4
185	186	NRARP
186	187	ZNF280C
187	188	EZR
188	189	GPATCH1
189	190	PROS1
190	191	LOX
191	192	SMPX
192	193	SELP
193	194	SERBP1
194	195	RPF1
195	196	POLR3H
196	197	DPCD
197	198	EXOSC10
198	199	DRG2
199	200	LZIC
200	201	ZC3H3
201	202	GRB10
202	203	URB1
203	204	GOLGA7
204	205	CDK2AP2
205	206	ZBTB4
206	207	MED6
207	208	METAP1
208	209	SULT6B1
209	210	ARHGEF3-AS1
210	211	KDM1A
211	212	SRP72
212	213	DNAH11
213	214	SLC8A1-AS1
214	215	CEP120
215	216	LRRC41
216	217	MIR22HG
217	218	LOC84214
218	219	NPTN
219	220	SAP30L
220	221	FAM69A
221	222	TSN
222	223	THUMPD3
223	224	MIR601
224	225	KHSRP
225	226	DDX20
226	227	MYO9A
227	228	TCEA1
228	229	ARF4
229	230	SMYD5
230	231	GORASP2
231	232	HHEX
232	233	NDUFA9
233	234	TRBV5-5
234	235	TRAV6
235	236	SNORA50A
236	237	CHCHD7
237	238	TRIM4
238	239	ASTE1
239	240	ERG28
240	241	CEP290
241	242	TAF3
242	243	RAB29
243	244	ABT1
244	245	SRGAP3-AS2
245	246	LARP7
246	247	LINC01339
247	248	SELENOM
248	249	MIR4266
249	250	CYB5R1
250	251	ZNF45
251	252	ZNF440
252	253	TRBV6-5
253	254	MCM3
254	255	EIF2AK3
255	256	STAP1
256	257	CCDC152
257	258	FARSA
258	259	TIMM21
259	260	SRC
260	261	TRDJ3
261	262	LINC01831
262	263	MALT1
263	264	TMSB10
264	265	ZNF649-AS1
265	266	TNFRSF11B
266	267	LCMT2
267	268	LINC02081
268	269	VPS11
269	270	ADH5
270	271	BLID
271	272	PCDHA9
272	273	AGFG2
273	274	RUFY2
274	275	MRM2
275	276	CACNB2
276	277	MGAM2
277	278	AIG1
278	279	NDRG2
279	280	NFYB
280	281	FBXO31
281	282	NOP56
282	283	SKOR2
283	284	MYO15B
284	285	HSPA4
285	286	GBA2
286	287	GMEB1
287	288	IARS
288	289	DOCK4
289	290	RXFP2
290	291	AK5
291	292	LIMS1
292	293	CLIC3
293	294	MSGN1
294	295	IBTK
295	296	ZNF91
296	297	NDUFS5
297	298	ABHD14A
298	299	KLHL20
299	300	TWISTNB
300	301	GGNBP2
301	302	FAF2
302	303	GTF3C3
303	304	BCO1
304	305	NARS
305	306	LOC101928424
306	307	PPBP
307	308	KPNA3
308	309	NEAT1
309	310	TRBV7-8
310	311	MIR1243
311	312	ANO10
312	313	PRPF6
313	314	DDX21
314	315	CEP63
315	316	PLCZ1
316	317	ACACA
317	318	SYS1
318	319	DLG1
319	320	ATIC
320	321	UTP4
321	322	DYRK2
322	323	TUB-AS1
323	324	TCTN3
324	325	RIOK1
325	326	PCDHGB7
326	327	EXOSC6
327	328	MAPK14
328	329	CXCL14
329	330	GLIS2
330	331	SNORA79
331	332	RPA4
332	333	EIF3D
333	334	TRPV4
334	335	SWAP70
335	336	CDKAL1
336	337	FSTL1
337	338	METTL2A
338	339	N4BP2
339	340	SEM1
340	341	WDR43
341	342	BCL9L
342	343	ALG5
343	344	RAI1
344	345	CLASRP
345	346	FAM13A-AS1
346	347	RNMT
347	348	ARL4C
348	349	ZNF235
349	350	HNRNPD
350	351	NCOA5
351	352	FAM86EP
352	353	FTSJ1
353	354	MCTP1
354	355	SIX4
355	356	SIT1
356	357	ZNF829
357	358	UTP15
358	359	CD5
359	360	ZNF256
360	361	PPP6C
361	362	TPTE2P3
362	363	LINC00330
363	364	BCL9
364	365	BCL7C
365	366	EIF3L
366	367	NAE1
367	368	CALR
368	369	FAIM
369	370	NIFK
370	371	BCAS4
371	372	DBR1
372	373	POLR3K
373	374	FBXL12
374	375	MORF4L2
375	376	SAMM50
376	377	MIR4762
377	378	KIR3DL1
378	379	THOC6
379	380	SLC8A1
380	381	HTR4
381	382	NOL11
382	383	TBC1D10A
383	384	DDX46
384	385	PLPP4
385	386	SEC14L1P1
386	387	LOC100289561
387	388	LTV1
388	389	TYK2
389	390	ZFP3
390	391	PDCD11
391	392	INTS9
392	393	SRFBP1
393	394	AQR
394	395	CDC40
395	396	BIN1
396	397	ILF3
397	398	MDH2
398	399	CEP78
399	400	SMC5
400	401	TP53
401	402	RNGTT
402	403	NAA35
403	404	STAT4
404	405	LINC01268
405	406	PAAF1
406	407	MAST4
407	408	C9orf72
408	409	PRR3
409	410	ZNF614
410	411	GARS
411	412	RAB27B
412	413	MATR3
413	414	SF3A3
414	415	S1PR1
415	416	PLA2G4C
416	417	LOC401324
417	418	SLC12A4
418	419	ZNF227
419	420	HTR2A
420	421	PTTG2
421	422	ACLY
422	423	TUT4
423	424	STK39
424	425	NOP14
425	426	DDX1
426	427	SNAP91
427	428	CDKN2A-DT
428	429	PUS7L
429	430	GTF2H3
430	431	RNF112
431	432	FAM98B
432	433	ANO2
433	434	ATP1A1
434	435	DISP1
435	436	PRPF19
436	437	NFATC2
437	438	SRM
438	439	RGPD3
439	440	DRG1
440	441	PRIM2B
441	442	ZNF275
442	443	SPTBN1
443	444	TRAV10
444	445	SLC4A1AP
445	446	SEPSECS-AS1
446	447	IGHV3-73
447	448	PLPP1
448	449	LOC145474
449	450	PPP2R1A
450	451	IGHD3-9
451	452	SLC35B4
452	453	KDM8
453	454	VEZT
454	455	COL10A1
455	456	PTCD2
456	457	ELK4
457	458	ZNHIT6
458	459	MIR130B
459	460	SDAD1
460	461	COL23A1
461	462	ZDHHC24
462	463	ZNF43
463	464	NOP58
464	465	PDZD9
465	466	ZNF345
466	467	RFC3
467	468	BCKDHB
468	469	ALKBH8
469	470	DPH6
470	471	KAZN
471	472	PDE3A
472	473	TMEM40
473	474	IGF2BP3
474	475	MBD3
475	476	DNAJB11
476	477	GGA2
477	478	PVALB
478	479	MLH1
479	480	CETP
480	481	MSANTD4
481	482	EHMT2
482	483	NAT10
483	484	CCND2
484	485	ZNF548
485	486	ZCCHC4
486	487	SDHB
487	488	SIDT1
488	489	PSMD11
489	490	THOC1
490	491	HNRNPM
491	492	ARL1
492	493	KCNH7
493	494	PHYH
494	495	AGFG1
495	496	TUBB
496	497	GNPTAB
497	498	SAMHD1
498	499	MIR451A
499	500	ST7
500	501	LOC100505498
501	502	SGCB
502	503	MANBA
503	504	SMARCA5
504	505	MOB1B
505	506	ZNF331
506	507	STARD7
507	508	PHB
508	509	MIRLET7E
509	510	EIF4A3
510	511	TCTN2
511	512	DDX56
512	513	ABHD14B
513	514	TARS
514	515	POLR2M
515	516	CKAP2
516	517	DHDDS
517	518	ATG4C
518	519	PRMT9
519	520	SUOX
520	521	HKR1
521	522	ZNF260
522	523	OPLAH
523	524	SPRTN
524	525	CRLF3
525	526	SCMH1
526	527	PRKAG1
527	528	PPP1R7
528	529	UMPS
529	530	LINC00989
530	531	NLRC4
531	532	TRBC2
532	533	KAT5
533	534	DBP
534	535	CDC23
535	536	MPI
536	537	MED12L
537	538	MRPL42
538	539	U2SURP
539	540	WIF1
540	541	MIR4489
541	542	DNAJA3
542	543	TRAJ10
543	544	ZNF184
544	545	MTA2
545	546	RAD17
546	547	ANTXRLP1
547	548	PSMC4
548	549	DET1
549	550	OPN3
550	551	CCL8
551	552	MRPS31P5
552	553	UFSP2
553	554	TRAV4
554	555	YARS
555	556	MED1
556	557	HSPA8
557	558	UTP25
558	559	SERPINA11
559	560	TAF1B
560	561	PTCH1
561	562	USP47
562	563	THBS3
563	564	ALG1
564	565	ZHX1
565	566	DCAF1
566	567	SIPA1L2
567	568	LAS1L
568	569	TMEM209
569	570	PF4
570	571	SRP68
571	572	ZNF3
572	573	NLGN3
573	574	ZNF699
574	575	C19orf33
575	576	ALDH18A1
576	577	ZNF574
577	578	ZFP14
578	579	NCALD
579	580	ANXA6
580	581	C8orf88
581	582	KLHL11
582	583	ZNF284
583	584	MAP7D3
584	585	POLR1B
585	586	TRBJ2-5
586	587	RFC1
587	588	EIF5B
588	589	PRPS1
589	590	SGSH
590	591	TRMT6
591	592	ZBTB3
592	593	MAP4
593	594	BAZ1B
594	595	WDR92
