	0	1
0	1	ACADVL
1	2	CXCL14
2	3	GLYR1
3	4	TCEA1
4	5	PKHD1L1
5	6	STX19
6	7	SIPA1L2
7	8	VNN1
8	9	ZNF500
9	10	GUCY1B1
10	11	NDUFS5
11	12	LINC01268
12	13	FADS2
13	14	MFSD4A
14	15	PLA2G4C
15	16	ANKRD54
16	17	UTP25
17	18	WIF1
18	19	MCM2
19	20	BLID
20	21	LINC02035
21	22	LOC101928461
22	23	MMRN1
23	24	RPA4
24	25	ZNF284
25	26	FASTKD5
26	27	RRP1B
27	28	PRKAG1
28	29	PLEC
29	30	DRG2
30	31	MIR601
31	32	ADAMTS9-AS2
32	33	GOLGA7
33	34	SLC8A1-AS1
34	35	CPSF4
35	36	DPH6
36	37	NFYB
37	38	MIR3117
38	39	VAMP2
39	40	MYCT1
40	41	AK5
41	42	MPI
42	43	RPH3A
43	44	BCL7A
44	45	SIGLEC17P
45	46	PHYH
46	47	LINC01831
47	48	RIOK2
48	49	MAST4
49	50	POLR1B
50	51	USP14
51	52	CASC20
52	53	ATP8A2
53	54	SGSH
54	55	MIR4489
55	56	KIR3DL1
56	57	ZBTB3
57	58	MRM2
58	59	KHSRP
59	60	CDC40
60	61	LOC84214
61	62	CLASRP
62	63	MSANTD4
63	64	CDK2AP2
64	65	CD6
65	66	LINC01427
66	67	FNBP1L
67	68	RAI1
68	69	RSL1D1
69	70	MIR3151
70	71	MIRLET7E
71	72	KAT5
72	73	MED13
73	74	AAR2
74	75	CETP
75	76	MIR4451
76	77	NAA15
77	78	LINC02081
78	79	TP53
79	80	PCDHGB7
80	81	LOC101927699
81	82	C19orf33
82	83	MDH2
83	84	TRBJ2-6
84	85	FANCF
85	86	PF4V1
86	87	ANO10
87	88	RAD17
88	89	GBA2
89	90	PAQR8
90	91	SELENOM
91	92	PCDHGA12
92	93	SYT15
93	94	OR51A7
94	95	COL23A1
95	96	LMNB2
96	97	PAICS
97	98	ZHX1
98	99	MIR1243
99	100	MIR4762
100	101	NECAB1
101	102	EBAG9
102	103	ZNF275
103	104	YARS
104	105	SUOX
105	106	METTL16
106	107	MTREX
107	108	MRPL42
108	109	WDR3
109	110	NSRP1
110	111	RUVBL2
111	112	MAGOHB
112	113	GNPTAB
113	114	MRPL51
114	115	GGA2
115	116	TDP1
116	117	PARP1
117	118	C1orf123
118	119	MGAM2
119	120	RBBP7
120	121	ELAVL1
121	122	NLGN3
122	123	PVALB
123	124	GP1BA
124	125	TRBC2
125	126	ST7
126	127	LGALSL
127	128	MBD3
128	129	MRPL49
129	130	LDHB
130	131	PPP1R16B
131	132	ZNF43
132	133	CSTF1
133	134	SARS
134	135	MCM6
135	136	API5
136	137	DET1
137	138	MANBA
138	139	HSPA9
139	140	HNRNPM
140	141	PLRG1
141	142	KRT20
142	143	CEP78
143	144	PHB
144	145	PEBP1
145	146	IPP
146	147	RAP1GDS1
147	148	UTP20
148	149	UMPS
149	150	USP11
150	151	XPA
151	152	ZNF605
152	153	SHROOM4
153	154	SHQ1
154	155	BRD3OS
155	156	SRFBP1
156	157	SERPINA11
157	158	EPRS
158	159	G3BP2
159	160	ATIC
160	161	TMEM109
161	162	P2RY12
162	163	TM9SF3
163	164	TRBV6-6
164	165	NCL
165	166	ZW10
166	167	HTATSF1
167	168	OPLAH
168	169	INTS9
169	170	HKR1
170	171	AARS
171	172	TOMM70
172	173	DBP
173	174	TECR
174	175	CRLF3
175	176	LOC401324
176	177	RFC3
177	178	PLD4
178	179	ZNF33B
179	180	ZNF136
180	181	ZNF260
181	182	NRARP
182	183	SPRTN
183	184	CDC5L
184	185	CAMKK2
185	186	TARS
186	187	HSP90B1
187	188	POLR2M
188	189	ZNF841
189	190	DDX18
190	191	ZNF574
191	192	SGCB
192	193	TRAV8-3
193	194	DLAT
194	195	MIR451A
195	196	TRBV5-6
196	197	PLEKHA8P1
197	198	CD3G
198	199	ZNF699
199	200	ZNF594
200	201	ARHGEF3
201	202	SUPT16H
202	203	TRMT6
203	204	KLHL11
204	205	ASRGL1
205	206	SSRP1
206	207	THOC1
207	208	PF4
208	209	ZFP14
209	210	MED12L
210	211	SIDT1
211	212	CD177
212	213	IKZF3
213	214	PRMT9
214	215	ABCD2
215	216	C8orf88
216	217	U2SURP
217	218	PRM1
218	219	STARD7
219	220	GPR18
220	221	ARL1
221	222	GGNBP2
222	223	MED1
223	224	EIF4A3
224	225	SIX4
225	226	BCAS2
226	227	BCO1
227	228	FAM50B
228	229	TBC1D10A
229	230	TTC3
230	231	ABHD14B
231	232	KIF20B
232	233	BAZ1B
233	234	CWF19L2
234	235	FAIM
235	236	LOC100289561
236	237	BCL7C
237	238	TCTN2
238	239	TRAJ10
239	240	NOLC1
240	241	PCED1B-AS1
241	242	HTR4
242	243	CKAP2
243	244	TERF2
244	245	SAMHD1
245	246	OPN3
246	247	ZNF331
247	248	CCND2
248	249	FTSJ1
249	250	MIR130B
250	251	CYB5B
251	252	EHMT2
252	253	KAZN
253	254	TAF1B
254	255	COL10A1
255	256	SEPT1
256	257	AGFG1
257	258	SCAMP3
258	259	DYNC1I2
259	260	PIK3R1
260	261	NCOA5
261	262	PRPS1
262	263	GUF1
263	264	KCNH7
264	265	TRBJ2-5
265	266	RPRD2
266	267	EIF5B
267	268	LOC389765
268	269	ZNF184
269	270	TRAV4
270	271	COPS6
271	272	LINC01339
272	273	HNRNPR
273	274	ATG4C
274	275	PDCD4
275	276	SLC4A1AP
276	277	MTA2
277	278	CSTF3
278	279	ZCCHC4
279	280	PLPP1
