	0	1
0	1	PLA2G4C
1	2	ANKRD54
2	3	SLC12A4
3	4	THUMPD3
4	5	CDKN2A-DT
5	6	SELP
6	7	CLASRP
7	8	CETP
8	9	CXCL5
9	10	MIR4451
10	11	SCARF1
11	12	C9orf72
12	13	STAP1
13	14	SLC8A1
14	15	NELFA
15	16	CRLF3
16	17	MED1
17	18	PCDHA9
18	19	FBXL12
19	20	ZBTB9
20	21	UPF3B
21	22	SEC14L1P1
22	23	RAB26
23	24	SRC
24	25	KDM1A
25	26	GSK3B
26	27	RPF1
27	28	IGF2BP3
28	29	CYB5R1
29	30	KHSRP
30	31	UTP15
31	32	FAM86EP
32	33	SIDT1
33	34	LOX
34	35	CEP120
35	36	UMPS
36	37	AIG1
37	38	NOA1
38	39	MRPL58
39	40	CALR
40	41	FAM86DP
41	42	DRG1
42	43	TAF3
43	44	FYTTD1
44	45	GBA2
45	46	UTP25
46	47	ASPSCR1
47	48	ZNF275
48	49	TAF5
49	50	MCTP1
50	51	MED6
51	52	OPLAH
52	53	MYO9A
53	54	ALG5
54	55	MIR22HG
55	56	EIF3L
56	57	WDR43
57	58	DBP
58	59	SNRNP40
59	60	PRM1
60	61	ZNF614
61	62	RXFP2
62	63	NPTN
63	64	IGFBP2
64	65	LINC02081
65	66	NAP1L3
66	67	BCL9
67	68	LIMS1
68	69	PPP3CC
69	70	HSPA8
70	71	RAB27B
71	72	OPN3
72	73	MYO15B
73	74	SIT1
74	75	RNMT
75	76	FAM98B
76	77	RHOF
77	78	MFSD4A
78	79	ZFP3
79	80	SAMHD1
80	81	SNORA50A
81	82	SMYD5
82	83	CLCA3P
83	84	PRMT9
84	85	ICK
85	86	CBX5
86	87	KAZN
87	88	MMP1
88	89	TRAV8-3
89	90	KIR3DL1
90	91	DBR1
91	92	UBIAD1
92	93	NFYB
93	94	LARP7
94	95	PRPF4
95	96	SMC4
96	97	NOL11
97	98	AQR
98	99	MSGN1
99	100	PVALB
100	101	FAM69A
101	102	ZNF256
102	103	USP47
103	104	GP1BA
104	105	CAPRIN1
105	106	NIFK
106	107	DET1
107	108	CKAP2
108	109	LRPPRC
109	110	CDC40
110	111	PSMC4
111	112	CEP78
112	113	ABHD14A
113	114	ACLY
114	115	IARS
115	116	MRFAP1L1
116	117	ZC3H3
117	118	DRG2
118	119	ZNF75A
119	120	URB1
120	121	FSTL1
121	122	ZNF331
122	123	MIR524
123	124	SRM
124	125	TRBJ2-3
125	126	ATP1A1
126	127	PPP1R7
127	128	SNX25
128	129	GUF1
129	130	TRAV4
130	131	LOC101927699
131	132	FXN
132	133	PDGFD
133	134	MALT1
134	135	NAA35
135	136	TPTE2P3
136	137	SMC2
137	138	TDP1
138	139	LINC01268
139	140	GPATCH1
140	141	HSPH1
141	142	ZCCHC4
142	143	BIN1
143	144	INTS9
144	145	TWISTNB
145	146	ADH5
146	147	ALKBH3
147	148	SWAP70
148	149	EIF3D
149	150	CDK2AP2
150	151	SNORA79
151	152	CXCL14
152	153	ZNF440
153	154	SP4
154	155	ERG28
155	156	U2SURP
156	157	TUBB
157	158	SAMM50
158	159	PAAF1
159	160	DNAH11
160	161	TRBV5-5
161	162	TP53RK
162	163	TNFRSF11B
163	164	LTV1
164	165	LINC01339
165	166	TTC37
166	167	LOC101928461
167	168	DDX46
168	169	FAF2
169	170	DNAJB11
170	171	EXOSC6
171	172	IMPDH2
172	173	INTS13
173	174	LINC01563
174	175	ZNF346
175	176	PDE3A
176	177	RIOK1
177	178	ST7
178	179	MAST4
179	180	STK39
180	181	TUB-AS1
181	182	SUOX
182	183	UTP4
183	184	DLG1
184	185	TNFAIP8L1
185	186	ACACA
186	187	BCO1
187	188	ADAMTS9-AS2
188	189	CALD1
189	190	FTO
190	191	TRBV7-8
191	192	DDX21
192	193	LIX1L
193	194	VEGFB
194	195	STX19
195	196	PRPF6
196	197	MIR1243
197	198	NEAT1
198	199	MDH2
199	200	ILF3
200	201	CEP63
201	202	HHEX
202	203	FAIM
203	204	HTR4
204	205	PRPF19
205	206	PPBP
206	207	LOC100289561
207	208	PLCZ1
208	209	MRPL42
209	210	SYS1
210	211	LINC01831
211	212	IL2RB
212	213	ATIC
213	214	SSB
214	215	PLEKHB1
215	216	LINC00330
216	217	STARD4
217	218	RBM34
218	219	SULT6B1
219	220	DYRK2
220	221	TCTN3
221	222	PCDHGB7
222	223	SF3A3
223	224	NARS
224	225	GTF3C3
225	226	GGNBP2
226	227	MIR3151
227	228	LINC00906
228	229	KLHL20
229	230	MAPK14
230	231	DYNC1I2
231	232	POLR3B
232	233	KPNA3
233	234	NDUFS5
234	235	ANGPT1
235	236	RPA4
236	237	IBTK
237	238	SIGIRR
238	239	NAE1
239	240	CLIC3
240	241	LINC01427
241	242	TRPV4
242	243	TRIM4
243	244	CDKAL1
244	245	IL1R1
245	246	ECD
246	247	STAT4
247	248	SEM1
248	249	AK5
249	250	DOCK4
250	251	GMEB1
251	252	BCL9L
252	253	HSPA4
253	254	RAI1
254	255	FAM13A-AS1
255	256	ZNF235
256	257	FBXO31
257	258	RAB29
258	259	GTF2H3
259	260	NOP56
260	261	NDRG2
261	262	MGAM2
262	263	SKAP1
263	264	HNRNPD
264	265	PEX3
265	266	ARL4C
266	267	MRM2
267	268	BLID
268	269	ZMYND11
269	270	AGFG2
270	271	VPS11
271	272	GLIS2
272	273	ANO10
273	274	ARL1
274	275	ANAPC7
275	276	RUFY2
276	277	ZFP82
277	278	LCMT2
278	279	ZNF649-AS1
279	280	PCED1B-AS1
280	281	TMSB10
281	282	TRDJ3
282	283	TIMM21
283	284	ARHGEF3
284	285	CCDC152
285	286	SMARCA5
286	287	EIF2AK3
287	288	ZNF260
288	289	TRBV6-5
289	290	ZNF45
290	291	ARF4
291	292	MIR4266
292	293	SRGAP3-AS2
293	294	SELENOM
294	295	ABT1
295	296	TXNDC12
296	297	IL21R
297	298	CYP4V2
