	0	1
0	1	ACADVL
1	2	ANKRD54
2	3	ADAMTS9-AS2
3	4	GLYR1
4	5	NDUFS5
5	6	LOC101928461
6	7	ZNF500
7	8	CASC20
8	9	UTP25
9	10	MMRN1
10	11	TCEA1
11	12	FADS2
12	13	RRP1B
13	14	PLA2G4C
14	15	LINC02035
15	16	KIF20B
16	17	ICK
17	18	PROS1
18	19	CLIC3
19	20	MIR601
20	21	RPH3A
21	22	EBAG9
22	23	NFYB
23	24	CPSF4
24	25	WIF1
25	26	STX19
26	27	GLIS2
27	28	ASRGL1
28	29	ACBD3
29	30	ZBTB3
30	31	CLASRP
31	32	VNN1
32	33	CAMKK2
33	34	PVALB
34	35	ZNF574
35	36	BCL9
36	37	CXCL14
37	38	GP1BA
38	39	ZNF699
39	40	HTATSF1
40	41	BAZ1B
41	42	AGFG1
42	43	FASTKD5
43	44	KIR3DL1
44	45	LDHB
45	46	PCDHGA12
46	47	SRGAP3-AS2
47	48	GRWD1
48	49	PLEKHA8P1
49	50	CDKN2A-DT
50	51	MIRLET7E
51	52	KLHL11
52	53	TNFRSF11B
53	54	U2SURP
54	55	KAT5
55	56	FANCF
56	57	MSGN1
57	58	METTL16
58	59	FSTL1
59	60	PCED1B-AS1
60	61	SNX25
61	62	PRPS2
62	63	PLEC
63	64	NSRP1
64	65	AIFM1
65	66	TRBV6-6
66	67	C1orf123
67	68	NAE1
68	69	LINC01831
69	70	LINC01268
70	71	MCM2
71	72	MFSD4A
72	73	SARS
73	74	ZNF383
74	75	CDC5L
75	76	NAT10
76	77	USP14
77	78	AVPR1A
78	79	GUCY1B1
79	80	CCDC152
80	81	BCAS2
81	82	PDGFD
82	83	ABHD14A
83	84	ANXA6
84	85	TAF5
85	86	DLAT
86	87	AES
87	88	RPA4
88	89	TRBJ2-6
89	90	SIPA1L2
90	91	PLRG1
91	92	ZW10
92	93	RUVBL2
93	94	MRPL49
94	95	AAR2
95	96	GPM6B
96	97	DET1
97	98	ALDH18A1
98	99	MYCT1
99	100	RAI1
100	101	MIR3117
101	102	MIR4266
102	103	LGALSL
103	104	SIGLEC17P
104	105	NOA1
105	106	NAA15
106	107	SGSH
107	108	TUB-AS1
108	109	MPI
109	110	CD5
110	111	ZNF649-AS1
111	112	UTP20
112	113	PEBP1
113	114	MTREX
114	115	ZNF33B
115	116	LINC01427
116	117	ZNF345
117	118	PRPF6
118	119	ZNF136
119	120	SRP68
120	121	OPLAH
121	122	NIFK
122	123	YTHDF2
123	124	ANAPC7
124	125	RAP1GDS1
125	126	STARD7
126	127	CDC40
127	128	TARS
128	129	C9orf72
129	130	MRPL51
130	131	TRBV5-6
131	132	ARHGEF3-AS1
132	133	MSANTD4
133	134	CAPRIN1
134	135	MED13
135	136	ACLY
136	137	C19orf33
137	138	CALB1
138	139	LOC401324
139	140	FXN
140	141	RFC3
141	142	PF4
142	143	ZNF275
143	144	VAMP2
144	145	GPR18
145	146	PRKCSH
146	147	KDM1A
147	148	WDR3
148	149	MPP5
149	150	SYT15
150	151	CCDC43
151	152	STARD4
152	153	NARS
153	154	SCARF1
154	155	MTA2
155	156	CSTF1
156	157	NAA30
157	158	NAA35
158	159	GORASP2
159	160	MIR524
160	161	PTCD2
161	162	ABHD14B
162	163	SEM1
163	164	PKHD1L1
164	165	CDKAL1
165	166	BCAS4
166	167	ZFP14
167	168	THOC1
168	169	DDX47
169	170	ZNF594
170	171	FAM13A-AS1
171	172	TUBB
172	173	CD6
173	174	SHROOM4
174	175	ELAVL1
175	176	MAPK14
176	177	EIF2AK3
177	178	ATIC
178	179	LINC02081
179	180	ADH5
180	181	KHSRP
181	182	NFATC2
182	183	ZNF841
183	184	NCL
184	185	NANOG
185	186	CEP63
186	187	UTP15
187	188	SCAMP3
188	189	EIF4A3
189	190	MOB1B
190	191	PIH1D2
191	192	BLID
192	193	THOC6
193	194	STAP1
194	195	CLCA3P
195	196	LINC01339
196	197	NELFA
197	198	UFSP2
198	199	GBA2
199	200	CXCL5
200	201	IMPDH2
201	202	GOLGA7
202	203	LINC01563
203	204	CEP78
204	205	DNAH11
205	206	ST7
206	207	NOP14
207	208	ELK4
208	209	BRD3OS
209	210	RAB29
210	211	P2RY12
211	212	MIR451A
212	213	MIR130B
213	214	TTC3
214	215	SSB
215	216	CDC23
216	217	ZFP3
217	218	HTR4
218	219	ZNF284
219	220	SNORA79
220	221	CHCHD7
221	222	GPN1
222	223	MAST4
223	224	CCL8
224	225	DYNC1I2
225	226	LRRC41
226	227	PCDHGB7
227	228	PF4V1
228	229	MIR1243
229	230	NOL11
230	231	PRR3
231	232	TECR
232	233	TDP1
233	234	CRLF3
234	235	ALG5
235	236	NOLC1
236	237	ATP8A2
237	238	ZNF75A
238	239	ZNF605
239	240	API5
240	241	TRBV7-8
241	242	HSPA9
242	243	IGF2BP3
243	244	MDH2
244	245	DRG2
245	246	ZNF184
246	247	ZNF260
247	248	SRFBP1
248	249	NOP58
249	250	BRCC3
250	251	IKZF3
251	252	TBC1D10A
252	253	AGFG2
253	254	PPIB
254	255	ATG16L2
255	256	DDX18
256	257	AIG1
257	258	IGHD3-9
258	259	DYRK2
259	260	PCDHA9
260	261	LOC101928424
261	262	KHDRBS1
262	263	ZHX1
263	264	GARS
264	265	WDR92
265	266	YARS
266	267	ZNF440
267	268	CYP4V2
268	269	UMPS
269	270	THBS3
270	271	DGKI
271	272	MIR3151
272	273	MALT1
273	274	ABT1
274	275	RPRD2
275	276	KIF3A
276	277	SEPSECS-AS1
277	278	SCMH1
278	279	PLCZ1
279	280	SRM
280	281	NDUFA9
281	282	MAP3K9
282	283	PDZD9
283	284	NRARP
284	285	CCND2
285	286	TXNDC12
286	287	DDX54
287	288	GMEB1
288	289	VEGFB
289	290	CETP
290	291	SELP
291	292	LOC100505498
292	293	TP53RK
293	294	NECAB1
294	295	MMP1
295	296	ZBTB9
296	297	RAB26
297	298	CSTF3
298	299	NDRG2
299	300	MED12L
300	301	TMEM209
301	302	SAMHD1
302	303	ILF3
303	304	KAZN
304	305	URB1
305	306	NCALD
306	307	TTC37
307	308	RAD17
308	309	PPP3CC
309	310	LOC100289561
310	311	CACNB2
311	312	TRAV10
312	313	MAGOHB
313	314	MANBA
314	315	PDCD4
315	316	SF3A3
316	317	CDR2L
317	318	SLC8A1
318	319	MAP7D3
319	320	ECD
320	321	TRBC2
321	322	CEP120
322	323	OPN3
323	324	PAICS
324	325	PPBP
325	326	SMC4
326	327	PPP2R1A
327	328	GSK3B
328	329	SP4
329	330	POLR1B
330	331	PRPF4
331	332	UBIAD1
332	333	LIX1L
333	334	MRPL58
334	335	SNRNP40
335	336	RSL1D1
336	337	IPP
337	338	TRMT6
338	339	GGA2
339	340	HSP90B1
340	341	ZCCHC4
341	342	XPA
342	343	PSMC4
343	344	HSPH1
