GSM1701025	GSM1701026	GSM1701027	GSM1701028	GSM1701029	GSM1701030	GSM1701031	GSM1701032	GSM1701033	GSM1701034	GSM1701035	GSM1701036	GSM1701037	GSM1701038	GSM1701039	GSM1701040	GSM1701041	GSM1701042	GSM1701043	GSM1701044
Lable	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
TNNT1	1.53814816610306	1.83247052247167	0.660059493341047	1.35533071650046	1.41066152410282	0.510166685233729	0.0351577772937481	0.64447673475949	-0.320906216073307	0.362350369250459	-0.666492538482557	-0.614870400219651	-0.700020178782415	-0.37783746411189	-0.723206162892418	-1.43101794765689	-1.22097034151056	-1.30625613484127	-0.936422913132005	-0.0508216913535153
TOMM40	1.36255226780276	1.81127062901818	0.711951510922109	1.9027254932445	1.0020889809263	-0.0962388979111837	0.491200789018899	0.711951510922109	0.649364316331779	-0.387193705549644	-0.72475414850405	-0.805583623484838	-1.40803102059315	-0.521289248057574	-1.1193021537459	-0.722580378200133	-0.871092365363631	-0.73553604921147	-0.866466582156898	-0.38503732540816
TOP2A	1.26962447493756	1.27957317507386	0.554840405508797	1.00962519494871	1.1930713257498	0.510922942624239	0.787598021476783	1.23180871689259	1.23606304110307	-0.0746679157706923	-1.29723479219755	-0.200429689288528	-0.868531396539269	-1.12701656501027	-0.828559675354757	-1.05205981600981	-0.655251508629695	-1.17369481275481	-1.13022993755222	-0.665451189207811
TPPP3	-0.317618841472154	0.458789659991011	-1.1351413009032	-1.02459142815762	-1.31539989186335	-1.09548560130696	-0.319235821843432	-1.11359974951527	-1.18195437067046	-1.1033770607263	0.999907677183176	0.894164104989035	1.10866200730789	-0.384257281006291	1.08387657505243	1.33137873317032	1.18177828845212	1.28437222096601	0.528781101767432	0.11895097858562
TPX2	0.856632048445836	1.40834401320973	0.617627700189276	1.45931502343574	0.452270367689064	0.942192092465922	1.02023930334172	0.688068323763413	1.61879084512998	-0.43390017809308	-0.64951598922325	-0.308275857488236	-0.955567060556986	-1.27425619230482	-1.09390444490183	-1.10510494156952	-0.787740868579243	-1.2251915166121	-0.672442005839926	-0.557580662501689
TSGA10	-1.13336798697892	0.174549332257216	-1.05996906733222	-0.837262382771964	-0.912121324511432	-0.552057730032903	-1.03941392483519	-0.701771512326185	-0.642017237349795	-1.37363184732325	0.72328797274047	1.05143203927519	0.943804624161576	-0.592741491718956	1.29613338249697	1.41500214748775	1.20390181832785	1.35692115625813	0.963162220447682	-0.28384018827203
TTC25	-0.413347057365772	-0.161663670601169	-1.10839749915186	-1.07258082151242	-0.960755455814301	-1.02785661076214	-0.727328060280215	-0.978735868914306	-1.24170100037571	-1.06254977756179	0.941590056753096	0.713508876950937	0.964119628838317	-0.0165781443820547	1.30149933486498	1.42873163789048	1.08023129438178	1.4450119459084	0.981777827508801	-0.0849766363750695
TTK	1.21338231562486	0.90678976945246	1.04586334045971	0.556295624781473	1.16726579406496	0.732953168703227	1.34383216681954	0.770751662011075	1.34327977680667	0.16850174671717	-1.06803134160727	-0.503081159706682	-1.02318049036812	-0.762924349158805	-0.987441392836411	-1.26990575776704	-0.629889527224287	-0.952345856484742	-1.29985280467836	-0.752262685609429
UBE2C	1.31103598980995	1.51773863897251	0.65185683194332	1.25100437321475	0.857684451788423	0.497667455371993	1.25970285544292	0.791101628855927	1.12824697081007	-0.208199121998573	-1.16093334555747	-0.776559447547801	-0.997533134065512	-0.633710911472498	-0.76563885139503	-1.13231643281344	-0.897330763672721	-0.749387484531946	-0.937253976281822	-1.00717572687305
VNN1	-1.18266081100041	-0.732291302382031	-0.781466734347185	-1.18021244910409	-0.957511449677817	0.0952550185733153	-1.29436524057951	-0.721481867887404	-0.721481867887404	-1.03296513322062	1.05881450507835	-0.543459309188149	0.625371171814611	1.36275281844536	0.557208443510667	1.48854365668984	0.748005788430845	1.15651580360759	1.30321348722862	0.752215471895432
VNN2	-0.853458414528145	-1.41867874014012	-0.823758442509598	-0.449034648980257	-0.596678762932777	-1.13298975154705	-0.645028419854921	-0.972435032783464	-0.03575577119884	-1.55094732833421	1.39686558499427	0.168469905481154	1.07630494118745	1.06364547926535	0.82905941778469	1.41653844463073	1.51810248925037	0.708678259668801	0.429072509942047	-0.127971719395481
VNN3	-0.994847303963864	-0.823400458740556	-1.23947727648616	-1.07166399518839	-0.647605711172916	-0.905155647065112	-0.746336280189835	-0.719326413362555	-0.329601371145026	-0.662280584674035	1.44807759408367	-0.0189597790715108	0.53467499434422	0.0821669172399565	0.857561584352552	1.4800090838751	1.24893466717408	2.06240863424933	0.751119535239797	-0.306298189498749
VWA3B	-0.913351819062577	-0.11185571457519	-0.873620170109076	-0.892778775807693	-0.981597614502564	-0.912427371421877	-1.12782367170511	-0.890420291014104	-0.611798958625716	-1.0265884885498	1.01545755096787	0.780242791899726	1.06288530819519	-0.704361320275508	1.23953320595549	1.51114768255129	1.29256971441632	1.41218605260421	0.743650345005282	-0.0110484559461467
WDR49	-0.947861452296828	-0.224070706735138	-0.882281528223216	-0.874398673640247	-0.9510756372678	-1.07417553037058	-0.971257553685765	-0.948724346034639	-0.598257605161129	-0.676200648683461	1.27002414814167	1.19891642881317	0.945632624148728	-0.879847338901707	0.967604385656038	1.37162329160276	1.52781082624142	1.19635035616929	0.686338708079005	-0.136149747851572
WDR66	-0.0323004876813294	-0.820044363169033	-1.30896143394786	-0.937142593053798	-0.776715599440648	-0.70153812122531	-1.20626293475193	-0.858319832084598	-1.56642896418873	-0.534183362757662	0.753266583887006	1.03613879796464	0.633542368321732	0.595940672047876	1.34476122031068	1.69843139043254	1.41051451965288	0.640392390179111	0.212952753900868	0.415956995603573
