GSM1701025	GSM1701026	GSM1701027	GSM1701028	GSM1701029	GSM1701030	GSM1701031	GSM1701032	GSM1701033	GSM1701034	GSM1701035	GSM1701036	GSM1701037	GSM1701038	GSM1701039	GSM1701040	GSM1701041	GSM1701042	GSM1701043	GSM1701044
Lable	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
TNNT1	9.69163	10.3408	7.75488	9.2884	9.41044	7.42427	6.37657	7.72051	5.59122	7.09824	4.82898	4.94284	4.75503	5.46565	4.70389	3.14271	3.606	3.41789	4.23361	6.18693
TOMM40	6.24641	6.50444	5.87229	6.55703	6.03913	5.40755	5.74535	5.87229	5.8363	5.24024	5.04613	4.99965	4.65322	5.16313	4.81925	5.04738	4.96198	5.03993	4.96464	5.24148
TOP2A	8.49941	8.52359	6.76215	7.86749	8.31335	6.65541	7.32786	8.4075	8.41784	5.23215	2.26074	4.92649	3.30269	2.67445	3.39984	2.85663	3.82106	2.561	2.66664	3.79627
TPPP3	6.46784	8.03316	4.81963	5.04251	4.45621	4.89958	6.46458	4.86306	4.72525	4.88367	9.12411	8.91092	9.34337	6.33349	9.2934	9.79239	9.49078	9.69762	8.17427	7.34801
TPX2	6.05891	6.94161	5.67652	7.02316	5.41196	6.1958	6.32067	5.78922	7.27831	3.99415	3.64918	4.19514	3.15952	2.64964	2.93819	2.92027	3.42803	2.72814	3.6125	3.79627
TSGA10	2.58733	5.77645	2.7663	3.30933	3.1268	4.00475	2.81642	3.6397	3.7854	2.00149	7.11445	7.91457	7.65214	3.90555	8.51123	8.80107	8.28634	8.65945	7.69934	4.65875
TTC25	6.62363	7.21727	4.98423	5.06871	5.33247	5.1742	5.88305	5.29006	4.66981	5.09237	9.81949	9.28152	9.87263	7.55948	10.6684	10.9685	10.1465	11.0069	9.91428	7.39815
TTK	6.81348	6.2418	6.50112	5.58826	6.72749	5.91766	7.05672	5.98814	7.05569	4.86517	2.5595	3.61292	2.64313	3.12841	2.70977	2.18308	3.37647	2.77521	2.12724	3.14829
UBE2C	9.0224	9.38146	7.87735	8.91812	8.23489	7.60951	8.93323	8.11923	8.70488	6.38336	4.72838	5.39607	5.01222	5.64421	5.41504	4.77809	5.18628	5.44327	5.11693	4.99547
VNN1	2.54861	3.63022	3.51212	2.55449	3.08933	5.61766	2.28034	3.65618	3.65618	2.90812	7.93175	4.08372	6.89079	8.66169	6.72709	8.96379	7.18531	8.16639	8.5187	7.19542
VNN2	3.90162	3.29396	3.93355	4.33641	4.17768	3.6011	4.1257	3.77371	4.78072	3.15176	6.32091	5.00028	5.97628	5.96267	5.71047	6.34206	6.45125	5.58105	5.28045	4.68158
VNN3	2.91341	3.21822	2.47849	2.77684	3.53076	3.07287	3.35523	3.40325	4.09613	3.50467	7.25661	4.64841	5.6327	4.8282	6.20675	7.31338	6.90256	8.34881	6.01751	4.13756
VWA3B	2.38738	4.84099	2.50901	2.45036	2.17846	2.39021	1.73082	2.45758	3.31052	2.04073	8.29202	7.57196	8.43721	3.02716	8.97798	9.80947	9.14034	9.50652	7.45994	5.14959
WDR49	1.69291	3.61375	1.86695	1.88787	1.68438	1.35769	1.63082	1.69062	2.62071	2.41386	7.57887	7.39016	6.71798	1.87341	6.77629	7.8485	8.263	7.38335	6.02985	3.84708
WDR66	4.651	3.73906	3.17306	3.6035	3.78922	3.87625	3.29195	3.69475	2.875	4.06999	5.56042	5.88789	5.42182	5.37829	6.24517	6.6546	6.32129	5.42975	4.93492	5.16993
ZBBX	2.75816	5.85367	2.74952	3.08121	2.82306	2.96893	3.34492	4.07115	3.72405	2.85064	8.92793	8.4872	8.67762	6.60695	9.49668	9.69548	9.28198	9.9639	8.38302	5.51578
ZHX1-C8orf76	5.30208	4.97743	5.86914	4.6991	5.68151	4.87626	4.87474	4.97072	5.1951	5.54685	4.01352	4.06702	3.7041	2.90961	3.28117	3.18025	3.39719	3.95767	3.27168	3.39011
ZWINT	9.04976	9.63764	8.66131	9.66578	9.14701	7.69597	8.39777	8.82712	9.16438	7.17756	4.35056	6.73672	6.18388	2.22173	6.56937	4.87843	5.92209	4.39527	5.12384	5.66866
